
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            Demo data                                           

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00 -1000.00     0.76     0.75    -0.88     0.85    25.10    25.02     1.45    -1.44     0.47     0.46     0.00    -0.02     0.00    72.72
    30.00  1000.00     0.00     0.89     0.91    -1.25     1.28    30.03    30.12     1.56    -1.56     0.56     0.56     0.02    -0.01    87.77     0.00
    30.00 -1000.00     0.00     0.93     0.91    -1.31     1.28    30.21    30.12     1.56    -1.56     0.56     0.56    -0.00    -0.01   -88.34     0.00
    30.00     0.00  1000.00     0.91     0.93    -1.28     1.31    30.12    30.21     1.56    -1.56     0.56     0.56     0.01     0.00     0.00   -88.34
    30.00     0.00 -1000.00     0.91     0.89    -1.28     1.25    30.12    30.03     1.56    -1.56     0.56     0.56     0.01    -0.02     0.00    87.77
    35.00  1000.00     0.00     1.04     1.06    -1.72     1.75    35.04    35.14     1.68    -1.69     0.66     0.66     0.03    -0.02   102.83     0.00
    35.00 -1000.00     0.00     1.07     1.06    -1.79     1.75    35.25    35.14     1.69    -1.69     0.66     0.66     0.01    -0.02  -103.49    -0.00
    35.00     0.00  1000.00     1.06     1.07    -1.75     1.79    35.14    35.25     1.69    -1.69     0.66     0.66     0.02    -0.01    -0.00  -103.49
    35.00     0.00 -1000.00     1.06     1.04    -1.75     1.72    35.14    35.04     1.69    -1.68     0.66     0.66     0.02    -0.03    -0.00   102.83
    40.00  1000.00     0.00     1.19     1.20    -2.27     2.30    40.05    40.17     1.82    -1.82     0.75     0.75     0.04    -0.03   117.90     0.00
    40.00 -1000.00     0.00     1.22     1.20    -2.34     2.30    40.29    40.17     1.82    -1.82     0.76     0.75     0.02    -0.03  -118.66     0.00
    40.00     0.00  1000.00     1.20     1.22    -2.30     2.34    40.17    40.29     1.82    -1.82     0.75     0.76     0.03    -0.02    -0.00  -118.66
    40.00     0.00 -1000.00     1.20     1.19    -2.30     2.27    40.17    40.05     1.82    -1.82     0.75     0.75     0.03    -0.04    -0.00   117.90
    -5.00  1000.00     0.00    -0.17    -0.15    -0.03     0.05    -5.00    -5.01     0.94    -0.94    -0.09    -0.09     0.02    -0.00   -18.12    -0.00
    -5.00 -1000.00     0.00    -0.14    -0.15    -0.08     0.05    -5.03    -5.01     0.94    -0.94    -0.09    -0.09    -0.01    -0.00    18.24     0.00
    -5.00     0.00  1000.00    -0.15    -0.14    -0.05     0.08    -5.01    -5.03     0.94    -0.94    -0.09    -0.09     0.00     0.01    -0.00    18.24
    -5.00     0.00 -1000.00    -0.15    -0.17    -0.05     0.03    -5.01    -5.00     0.94    -0.94    -0.09    -0.09     0.00    -0.02     0.00   -18.12
   -10.00  1000.00     0.00    -0.32    -0.31    -0.16     0.18    -9.99   -10.03     0.88    -0.88    -0.18    -0.18     0.02    -0.01   -33.45    -0.00
   -10.00 -1000.00     0.00    -0.30    -0.31    -0.21     0.18   -10.06   -10.03     0.88    -0.88    -0.18    -0.18    -0.00    -0.01    33.67     0.00
   -10.00     0.00  1000.00    -0.31    -0.30    -0.18     0.21   -10.03   -10.06     0.88    -0.88    -0.18    -0.18     0.01     0.00    -0.00    33.67
   -10.00     0.00 -1000.00    -0.31    -0.32    -0.18     0.16   -10.03    -9.99     0.88    -0.88    -0.18    -0.18     0.01    -0.02     0.00   -33.45
   -15.00  1000.00     0.00    -0.48    -0.47    -0.36     0.39   -14.99   -15.04     0.84    -0.84    -0.27    -0.27     0.03    -0.02   -48.85    -0.00
   -15.00 -1000.00     0.00    -0.46    -0.47    -0.41     0.39   -15.09   -15.04     0.84    -0.84    -0.27    -0.27     0.01    -0.02    49.18     0.00
   -15.00     0.00  1000.00    -0.47    -0.46    -0.39     0.41   -15.04   -15.09     0.84    -0.84    -0.27    -0.27     0.02    -0.01    -0.00    49.18
   -15.00     0.00 -1000.00    -0.47    -0.48    -0.39     0.36   -15.04   -14.99     0.84    -0.84    -0.27    -0.27     0.02    -0.03     0.00   -48.85
   -20.00  1000.00     0.00    -0.63    -0.62    -0.64     0.67   -19.98   -20.05     0.80    -0.80    -0.36    -0.36     0.04    -0.03   -64.36    -0.00
   -20.00 -1000.00     0.00    -0.61    -0.62    -0.70     0.67   -20.12   -20.05     0.80    -0.80    -0.36    -0.36     0.01    -0.03    64.78     0.00
   -20.00     0.00  1000.00    -0.62    -0.61    -0.67     0.70   -20.05   -20.12     0.80    -0.80    -0.36    -0.36     0.03    -0.01    -0.00    64.78
   -20.00     0.00 -1000.00    -0.62    -0.63    -0.67     0.64   -20.05   -19.98     0.80    -0.80    -0.36    -0.36     0.03    -0.04     0.00   -64.36
   -25.00  1000.00     0.00    -0.79    -0.78    -1.00     1.03   -24.97   -25.06     0.78    -0.78    -0.45    -0.45     0.05    -0.04   -79.97    -0.00
   -25.00 -1000.00     0.00    -0.77    -0.78    -1.06     1.03   -25.14   -25.06     0.78    -0.78    -0.45    -0.45     0.02    -0.04    80.50     0.00
   -25.00     0.00  1000.00    -0.78    -0.77    -1.03     1.06   -25.06   -25.14     0.78    -0.78    -0.45    -0.45     0.04    -0.02    -0.00    80.50
   -25.00     0.00 -1000.00    -0.78    -0.79    -1.03     1.00   -25.06   -24.97     0.78    -0.78    -0.45    -0.45     0.04    -0.05     0.00   -79.97
   -30.00  1000.00     0.00    -0.95    -0.94    -1.44     1.47   -29.96   -30.06     0.76    -0.76    -0.53    -0.53     0.06    -0.05   -95.70    -0.00
   -30.00 -1000.00     0.00    -0.93    -0.94    -1.51     1.47   -30.16   -30.06     0.76    -0.76    -0.54    -0.53     0.04    -0.05    96.35    -0.00
   -30.00     0.00  1000.00    -0.94    -0.93    -1.47     1.51   -30.06   -30.16     0.76    -0.76    -0.53    -0.54     0.05    -0.04    -0.00    96.35
   -30.00     0.00 -1000.00    -0.94    -0.95    -1.47     1.44   -30.06   -29.96     0.76    -0.76    -0.53    -0.53     0.05    -0.06     0.00   -95.70
   -35.00  1000.00     0.00    -1.11    -1.10    -1.96     1.99   -34.95   -35.07     0.75    -0.75    -0.62    -0.62     0.07    -0.06  -111.58    -0.00
   -35.00 -1000.00     0.00    -1.09    -1.10    -2.03     1.99   -35.18   -35.07     0.75    -0.75    -0.62    -0.62     0.05    -0.06   112.34     0.00
   -35.00     0.00  1000.00    -1.10    -1.09    -1.99     2.03   -35.07   -35.18     0.75    -0.75    -0.62    -0.62     0.06    -0.05     0.00   112.34
   -35.00     0.00 -1000.00    -1.10    -1.11    -1.99     1.96   -35.07   -34.95     0.75    -0.75    -0.62    -0.62     0.06    -0.07     0.00  -111.58
   -40.00  1000.00     0.00    -1.27    -1.26    -2.55     2.59   -39.94   -40.07     0.75    -0.75    -0.70    -0.71     0.09    -0.08  -127.61    -0.00
   -40.00 -1000.00     0.00    -1.25    -1.26    -2.63     2.59   -40.20   -40.07     0.76    -0.75    -0.71    -0.71     0.07    -0.08   128.49     0.00
   -40.00     0.00  1000.00    -1.26    -1.25    -2.59     2.63   -40.07   -40.20     0.75    -0.76    -0.71    -0.71     0.08    -0.07     0.00   128.49
   -40.00     0.00 -1000.00    -1.26    -1.27    -2.59     2.55   -40.07   -39.94     0.75    -0.75    -0.71    -0.70     0.08    -0.09     0.00  -127.61
