
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics                                             Demo data                                           

   WhlTra  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     0.00   -60.00    40.93    42.33    -3.53    20.85   -27.54    28.48    12.46    -1.39    13.85   -11.17   129.11     4.64     6.11
     0.00   -70.00    49.96    51.38    -3.57    20.94   -38.08    33.27    16.69    -1.42    18.11    -8.52   139.69     4.01     5.52
     5.00     0.00    -0.00     0.00    -1.07    20.54     0.45     0.00    -0.00     0.00    -0.00     0.00    85.03 ******** ********
     5.00    10.00    -6.39    -6.34    -0.36    20.50    -0.31    -5.88    -0.46     0.05    -0.51   -11.49    78.84    27.88    28.87
     5.00    20.00   -12.91   -12.72     0.42    20.47    -2.58   -11.01    -1.70     0.20    -1.90   -11.47    72.72    13.91    15.03
     5.00    30.00   -19.64   -19.21     1.29    20.44    -6.38   -15.63    -3.58     0.43    -4.01   -11.95    66.62     9.26    10.49
     5.00    40.00   -26.68   -25.94     2.26    20.41   -11.72   -19.94    -6.00     0.74    -6.74   -12.28    60.45     6.95     8.26
     5.00    50.00   -34.16   -33.06     3.32    20.38   -18.65   -24.13    -8.93     1.09   -10.03   -12.24    54.13     5.56     6.96
     5.00    60.00   -42.26   -40.85     4.50    20.36   -27.25   -28.43   -12.42     1.42   -13.84   -11.42    47.53     4.65     6.11
     5.00    70.00   -51.30   -49.83     5.82    20.37   -37.83   -33.20   -16.63     1.47   -18.10    -8.87    40.46     4.01     5.53
     5.00     0.00    -0.00     0.00    -1.07    20.54     0.45     0.00    -0.00     0.00    -0.00     0.00    85.03 ******** ********
     5.00   -10.00     6.34     6.39    -1.70    20.58    -0.31     5.88     0.46    -0.05     0.51   -11.49    91.37    27.88    28.87
     5.00   -20.00    12.72    12.91    -2.26    20.62    -2.58    11.01     1.70    -0.20     1.90   -11.47    97.93    13.91    15.03
     5.00   -30.00    19.21    19.64    -2.74    20.67    -6.38    15.63     3.58    -0.43     4.01   -11.95   104.81     9.26    10.49
     5.00   -40.00    25.94    26.68    -3.14    20.72   -11.72    19.94     6.00    -0.74     6.74   -12.28   112.13     6.95     8.26
     5.00   -50.00    33.06    34.16    -3.44    20.79   -18.65    24.13     8.93    -1.09    10.03   -12.24   120.10     5.56     6.96
     5.00   -60.00    40.85    42.26    -3.64    20.86   -27.25    28.43    12.42    -1.42    13.84   -11.42   129.03     4.65     6.11
     5.00   -70.00    49.83    51.30    -3.69    20.95   -37.83    33.20    16.63    -1.47    18.10    -8.87   139.59     4.01     5.53
    10.00     0.00    -0.00     0.00    -1.15    20.54     0.81     0.00    -0.00     0.01    -0.01     0.00    84.97 ******** ********
    10.00    10.00    -6.38    -6.33    -0.44    20.50     0.05    -5.87    -0.46     0.05    -0.51   -11.86    78.78    27.92    28.91
    10.00    20.00   -12.89   -12.69     0.36    20.47    -2.24   -11.00    -1.70     0.20    -1.90   -11.62    72.67    13.94    15.05
    10.00    30.00   -19.61   -19.18     1.24    20.43    -6.07   -15.61    -3.57     0.43    -4.00   -12.06    66.56     9.28    10.50
    10.00    40.00   -26.64   -25.89     2.22    20.40   -11.45   -19.91    -5.98     0.74    -6.73   -12.40    60.39     6.96     8.27
    10.00    50.00   -34.10   -33.00     3.30    20.38   -18.42   -24.09    -8.91     1.10   -10.01   -12.38    54.07     5.57     6.96
    10.00    60.00   -42.20   -40.76     4.49    20.36   -27.07   -28.38   -12.38     1.44   -13.82   -11.61    47.47     4.66     6.12
    10.00    70.00   -51.22   -49.71     5.83    20.36   -37.70   -33.14   -16.57     1.52   -18.09    -9.17    40.40     4.02     5.53
    10.00     0.00    -0.00     0.00    -1.15    20.54     0.81     0.00    -0.00     0.01    -0.01     0.00    84.97 ******** ********
    10.00   -10.00     6.33     6.38    -1.79    20.58     0.05     5.87     0.46    -0.05     0.51   -11.86    91.31    27.92    28.91
    10.00   -20.00    12.69    12.89    -2.35    20.62    -2.24    11.00     1.70    -0.20     1.90   -11.62    97.87    13.94    15.05
    10.00   -30.00    19.18    19.61    -2.84    20.67    -6.07    15.61     3.57    -0.43     4.00   -12.06   104.74     9.28    10.50
    10.00   -40.00    25.89    26.64    -3.24    20.73   -11.45    19.91     5.98    -0.74     6.73   -12.40   112.06     6.96     8.27
    10.00   -50.00    33.00    34.10    -3.56    20.79   -18.42    24.09     8.91    -1.10    10.01   -12.38   120.02     5.57     6.96
    10.00   -60.00    40.76    42.20    -3.76    20.87   -27.07    28.38    12.38    -1.44    13.82   -11.61   128.94     4.66     6.12
    10.00   -70.00    49.71    51.22    -3.81    20.96   -37.70    33.14    16.57    -1.52    18.09    -9.17   139.48     4.02     5.53
    15.00     0.00    -0.00     0.00    -1.24    20.54     1.09     0.00    -0.00     0.00    -0.00     0.00    84.91 ******** ********
    15.00    10.00    -6.37    -6.32    -0.52    20.50     0.32    -5.86    -0.46     0.05    -0.51   -11.46    78.72    27.97    28.96
    15.00    20.00   -12.87   -12.67     0.29    20.47    -1.99   -10.98    -1.69     0.20    -1.89   -11.54    72.61    13.96    15.07
    15.00    30.00   -19.58   -19.15     1.18    20.43    -5.85   -15.59    -3.56     0.43    -3.99   -12.06    66.51     9.29    10.51
    15.00    40.00   -26.59   -25.85     2.17    20.40   -11.28   -19.88    -5.97     0.74    -6.71   -12.45    60.35     6.97     8.28
    15.00    50.00   -34.05   -32.94     3.26    20.37   -18.30   -24.06    -8.88     1.11    -9.99   -12.47    54.03     5.58     6.97
    15.00    60.00   -42.13   -40.68     4.48    20.35   -27.01   -28.34   -12.34     1.45   -13.79   -11.76    47.44     4.66     6.12
    15.00    70.00   -51.14   -49.58     5.83    20.35   -37.70   -33.07   -16.51     1.56   -18.06    -9.43    40.37     4.02     5.53
    15.00     0.00    -0.00     0.00    -1.24    20.54     1.09     0.00    -0.00     0.00    -0.00     0.00    84.91 ******** ********
    15.00   -10.00     6.32     6.37    -1.89    20.58     0.32     5.86     0.46    -0.05     0.51   -11.46    91.25    27.97    28.96
    15.00   -20.00    12.67    12.87    -2.46    20.62    -1.99    10.98     1.69    -0.20     1.89   -11.54    97.80    13.96    15.07
    15.00   -30.00    19.15    19.58    -2.95    20.67    -5.85    15.59     3.56    -0.43     3.99   -12.06   104.67     9.29    10.51
    15.00   -40.00    25.85    26.59    -3.36    20.73   -11.28    19.88     5.97    -0.74     6.71   -12.45   111.98     6.97     8.28
    15.00   -50.00    32.94    34.05    -3.67    20.80   -18.30    24.06     8.88    -1.11     9.99   -12.47   119.93     5.58     6.97
    15.00   -60.00    40.68    42.13    -3.88    20.88   -27.01    28.34    12.34    -1.45    13.79   -11.76   128.83     4.66     6.12
    15.00   -70.00    49.58    51.14    -3.93    20.97   -37.70    33.07    16.51    -1.56    18.06    -9.43   139.35     4.02     5.53
    20.00     0.00     0.00    -0.00    -1.34    20.54     1.27    -0.00    -0.00    -0.00     0.00     0.00    84.85 ******** ********
    20.00    10.00    -6.36    -6.31    -0.60    20.50     0.49    -5.86    -0.46     0.05    -0.50   -10.30    78.67    28.02    29.02
    20.00    20.00   -12.85   -12.66     0.21    20.47    -1.84   -10.97    -1.69     0.19    -1.88   -11.25    72.56    13.98    15.10
    20.00    30.00   -19.54   -19.12     1.12    20.43    -5.73   -15.57    -3.55     0.42    -3.97   -11.95    66.47     9.31    10.53
    20.00    40.00   -26.54   -25.80     2.12    20.40   -11.20   -19.85    -5.95     0.74    -6.69   -12.41    60.31     6.98     8.29
    20.00    50.00   -33.98   -32.88     3.22    20.37   -18.28   -24.02    -8.85     1.11    -9.96   -12.50    54.00     5.59     6.98
    20.00    60.00   -42.05   -40.59     4.45    20.35   -27.06   -28.29   -12.30     1.46   -13.76   -11.86    47.41     4.67     6.13
    20.00    70.00   -51.05   -49.46     5.83    20.34   -37.81   -33.01   -16.45     1.59   -18.03    -9.64    40.36     4.03     5.54
    20.00     0.00     0.00    -0.00    -1.34    20.54     1.27    -0.00    -0.00    -0.00     0.00     0.00    84.85 ******** ********
    20.00   -10.00     6.31     6.36    -1.99    20.58     0.49     5.86     0.46    -0.05     0.50   -10.30    91.18    28.02    29.02
    20.00   -20.00    12.66    12.85    -2.57    20.63    -1.84    10.97     1.69    -0.19     1.88   -11.25    97.73    13.98    15.10
    20.00   -30.00    19.12    19.54    -3.07    20.68    -5.73    15.57     3.55    -0.42     3.97   -11.95   104.59     9.31    10.53
    20.00   -40.00    25.80    26.54    -3.48    20.73   -11.20    19.85     5.95    -0.74     6.69   -12.41   111.90     6.98     8.29
    20.00   -50.00    32.88    33.98    -3.80    20.80   -18.28    24.02     8.85    -1.11     9.96   -12.50   119.83     5.59     6.98
    20.00   -60.00    40.59    42.05    -4.01    20.88   -27.06    28.29    12.30    -1.46    13.76   -11.86   128.72     4.67     6.13
    20.00   -70.00    49.46    51.05    -4.06    20.98   -37.81    33.01    16.45    -1.59    18.03    -9.64   139.21     4.03     5.54
    25.00     0.00     0.00    -0.00    -1.45    20.54     1.37    -0.00    -0.00    -0.01     0.01     0.00    84.79 ******** ********
    25.00    10.00    -6.34    -6.31    -0.70    20.50     0.58    -5.85    -0.45     0.04    -0.49    -8.36    78.62    28.09    29.09
    25.00    20.00   -12.82   -12.64     0.12    20.47    -1.77   -10.95    -1.68     0.18    -1.87   -10.74    72.52    14.01    15.12
    25.00    30.00   -19.50   -19.09     1.04    20.43    -5.71   -15.55    -3.54     0.42    -3.96   -11.72    66.43     9.33    10.54
    25.00    40.00   -26.49   -25.76     2.05    20.39   -11.23   -19.83    -5.93     0.73    -6.66   -12.31    60.28     6.99     8.30
    25.00    50.00   -33.92   -32.82     3.17    20.36   -18.37   -23.99    -8.83     1.10    -9.93   -12.47    53.98     5.60     6.99
    25.00    60.00   -41.97   -40.51     4.42    20.34   -27.22   -28.25   -12.26     1.46   -13.72   -11.91    47.40     4.68     6.14
    25.00    70.00   -50.95   -49.34     5.82    20.34   -38.05   -32.95   -16.39     1.61   -17.99    -9.80    40.37     4.03     5.54
    25.00     0.00     0.00    -0.00    -1.45    20.54     1.37    -0.00    -0.00    -0.01     0.01     0.00    84.79 ******** ********
    25.00   -10.00     6.31     6.34    -2.11    20.59     0.58     5.85     0.45    -0.04     0.49    -8.36    91.12    28.09    29.09
    25.00   -20.00    12.64    12.82    -2.69    20.63    -1.77    10.95     1.68    -0.18     1.87   -10.74    97.66    14.01    15.12
    25.00   -30.00    19.09    19.50    -3.19    20.68    -5.71    15.55     3.54    -0.42     3.96   -11.72   104.51     9.33    10.54
    25.00   -40.00    25.76    26.49    -3.61    20.74   -11.23    19.83     5.93    -0.73     6.66   -12.31   111.81     6.99     8.30
    25.00   -50.00    32.82    33.92    -3.94    20.81   -18.37    23.99     8.83    -1.10     9.93   -12.47   119.73     5.60     6.99
    25.00   -60.00    40.51    41.97    -4.15    20.89   -27.22    28.25    12.26    -1.46    13.72   -11.91   128.60     4.68     6.14
    25.00   -70.00    49.34    50.95    -4.20    21.00   -38.05    32.95    16.39    -1.61    17.99    -9.80   139.06     4.03     5.54
    30.00     0.00     0.01    -0.01    -1.56    20.55     1.37    -0.01    -0.00    -0.02     0.02     0.00    84.74 ******** ********
    30.00    10.00    -6.33    -6.30    -0.81    20.51     0.58    -5.85    -0.45     0.03    -0.48    -5.64    78.57    28.17    29.16
    30.00    20.00   -12.79   -12.62     0.03    20.47    -1.80   -10.94    -1.68     0.17    -1.85   -10.01    72.48    14.04    15.16
    30.00    30.00   -19.46   -19.06     0.95    20.43    -5.77   -15.53    -3.53     0.40    -3.93   -11.38    66.40     9.35    10.56
    30.00    40.00   -26.44   -25.72     1.98    20.39   -11.35   -19.80    -5.92     0.72    -6.63   -12.12    60.26     7.00     8.32
    30.00    50.00   -33.85   -32.76     3.12    20.36   -18.56   -23.96    -8.80     1.09    -9.89   -12.38    53.97     5.61     7.00
    30.00    60.00   -41.88   -40.43     4.38    20.33   -27.50   -28.21   -12.22     1.46   -13.68   -11.91    47.41     4.68     6.14
    30.00    70.00   -50.84   -49.22     5.80    20.33   -38.41   -32.90   -16.32     1.62   -17.94    -9.91    40.39     4.04     5.55
    30.00     0.00     0.01    -0.01    -1.56    20.55     1.37    -0.01    -0.00    -0.02     0.02     0.00    84.74 ******** ********
    30.00   -10.00     6.30     6.33    -2.23    20.59     0.58     5.85     0.45    -0.03     0.48    -5.64    91.05    28.17    29.16
    30.00   -20.00    12.62    12.79    -2.82    20.63    -1.80    10.94     1.68    -0.17     1.85   -10.01    97.58    14.04    15.16
    30.00   -30.00    19.06    19.46    -3.33    20.69    -5.77    15.53     3.53    -0.40     3.93   -11.38   104.43     9.35    10.56
    30.00   -40.00    25.72    26.44    -3.75    20.75   -11.35    19.80     5.92    -0.72     6.63   -12.12   111.71     7.00     8.32
    30.00   -50.00    32.76    33.85    -4.08    20.82   -18.56    23.96     8.80    -1.09     9.89   -12.38   119.62     5.61     7.00
    30.00   -60.00    40.43    41.88    -4.29    20.91   -27.50    28.21    12.22    -1.46    13.68   -11.91   128.47     4.68     6.14
    30.00   -70.00    49.22    50.84    -4.34    21.01   -38.41    32.90    16.32    -1.62    17.94    -9.91   138.89     4.04     5.55
    35.00     0.00     0.02    -0.02    -1.69    20.55     1.29    -0.02    -0.00    -0.04     0.04     0.00    84.68 ******** ********
    35.00    10.00    -6.31    -6.30    -0.93    20.51     0.49    -5.84    -0.45     0.01    -0.46    -2.13    78.52    28.25    29.25
    35.00    20.00   -12.76   -12.61    -0.08    20.47    -1.92   -10.93    -1.68     0.15    -1.83    -9.04    72.44    14.08    15.19
    35.00    30.00   -19.42   -19.03     0.86    20.43    -5.93   -15.51    -3.52     0.38    -3.91   -10.92    66.37     9.37    10.58
    35.00    40.00   -26.38   -25.68     1.90    20.39   -11.57   -19.78    -5.90     0.70    -6.60   -11.86    60.24     7.02     8.33
    35.00    50.00   -33.77   -32.70     3.05    20.35   -18.86   -23.93    -8.77     1.07    -9.85   -12.23    53.97     5.62     7.01
    35.00    60.00   -41.79   -40.35     4.34    20.32   -27.88   -28.17   -12.18     1.44   -13.62   -11.85    47.43     4.69     6.15
    35.00    70.00   -50.72   -49.10     5.78    20.32   -38.89   -32.84   -16.26     1.62   -17.88    -9.98    40.44     4.05     5.56
    35.00     0.00     0.02    -0.02    -1.69    20.55     1.29    -0.02    -0.00    -0.04     0.04     0.00    84.68 ******** ********
    35.00   -10.00     6.30     6.31    -2.36    20.59     0.49     5.84     0.45    -0.01     0.46    -2.13    90.99    28.25    29.25
    35.00   -20.00    12.61    12.76    -2.96    20.64    -1.92    10.93     1.68    -0.15     1.83    -9.04    97.51    14.08    15.19
    35.00   -30.00    19.03    19.42    -3.47    20.69    -5.93    15.51     3.52    -0.38     3.91   -10.92   104.34     9.37    10.58
    35.00   -40.00    25.68    26.38    -3.90    20.75   -11.57    19.78     5.90    -0.70     6.60   -11.86   111.61     7.02     8.33
    35.00   -50.00    32.70    33.77    -4.23    20.83   -18.86    23.93     8.77    -1.07     9.85   -12.23   119.50     5.62     7.01
    35.00   -60.00    40.35    41.79    -4.44    20.92   -27.88    28.17    12.18    -1.44    13.62   -11.85   128.32     4.69     6.15
    35.00   -70.00    49.10    50.72    -4.49    21.02   -38.89    32.84    16.26    -1.62    17.88    -9.98   138.70     4.05     5.56
    40.00     0.00     0.03    -0.03    -1.82    20.55     1.13    -0.03    -0.00    -0.06     0.06     0.00    84.63 ******** ********
    40.00    10.00    -6.29    -6.30    -1.05    20.51     0.32    -5.84    -0.45    -0.01    -0.44     2.17    78.48    28.35    29.35
    40.00    20.00   -12.72   -12.59    -0.19    20.47    -2.12   -10.92    -1.67     0.13    -1.80    -7.85    72.41    14.12    15.23
    40.00    30.00   -19.37   -19.00     0.76    20.43    -6.18   -15.49    -3.51     0.36    -3.88   -10.34    66.35     9.39    10.61
    40.00    40.00   -26.31   -25.64     1.81    20.38   -11.89   -19.76    -5.88     0.68    -6.56   -11.51    60.24     7.03     8.34
    40.00    50.00   -33.69   -32.64     2.98    20.35   -19.26   -23.90    -8.75     1.05    -9.80   -12.02    53.98     5.63     7.02
    40.00    60.00   -41.69   -40.26     4.28    20.32   -28.37   -28.13   -12.14     1.42   -13.56   -11.74    47.47     4.70     6.16
    40.00    70.00   -50.60   -48.98     5.75    20.31   -39.48   -32.78   -16.19     1.62   -17.81    -9.99    40.50     4.05     5.56
    40.00     0.00     0.03    -0.03    -1.82    20.55     1.13    -0.03    -0.00    -0.06     0.06     0.00    84.63 ******** ********
    40.00   -10.00     6.30     6.29    -2.50    20.60     0.32     5.84     0.45     0.01     0.44     2.17    90.92    28.35    29.35
    40.00   -20.00    12.59    12.72    -3.11    20.64    -2.12    10.92     1.67    -0.13     1.80    -7.85    97.43    14.12    15.23
    40.00   -30.00    19.00    19.37    -3.62    20.70    -6.18    15.49     3.51    -0.36     3.88   -10.34   104.25     9.39    10.61
    40.00   -40.00    25.64    26.31    -4.05    20.76   -11.89    19.76     5.88    -0.68     6.56   -11.51   111.50     7.03     8.34
    40.00   -50.00    32.64    33.69    -4.39    20.84   -19.26    23.90     8.75    -1.05     9.80   -12.02   119.37     5.63     7.02
    40.00   -60.00    40.26    41.69    -4.60    20.93   -28.37    28.13    12.14    -1.42    13.56   -11.74   128.17     4.70     6.16
    40.00   -70.00    48.98    50.60    -4.65    21.04   -39.48    32.78    16.19    -1.62    17.81    -9.99   138.51     4.05     5.56
     0.00     0.00    -0.00     0.00    -1.00    20.54     0.00     0.00    -0.00    -0.00     0.00     0.00    85.10 ******** ********
     0.00    10.00    -6.40    -6.35    -0.30    20.50    -0.75    -5.89    -0.46     0.05    -0.51   -10.38    78.90    27.85    28.84
     0.00    20.00   -12.93   -12.74     0.48    20.47    -3.01   -11.03    -1.71     0.19    -1.90   -11.12    72.79    13.90    15.01
     0.00    30.00   -19.67   -19.25     1.34    20.44    -6.79   -15.66    -3.59     0.42    -4.01   -11.72    66.68     9.25    10.47
     0.00    40.00   -26.71   -25.99     2.29    20.41   -12.10   -19.97    -6.02     0.73    -6.75   -12.09    60.51     6.94     8.25
     0.00    50.00   -34.21   -33.13     3.34    20.38   -18.98   -24.17    -8.96     1.08   -10.04   -12.04    54.19     5.56     6.95
     0.00    60.00   -42.33   -40.93     4.51    20.37   -27.54   -28.48   -12.46     1.39   -13.85   -11.17    47.60     4.64     6.11
     0.00    70.00   -51.38   -49.96     5.81    20.37   -38.08   -33.27   -16.69     1.42   -18.11    -8.52    40.53     4.01     5.52
     0.00     0.00    -0.00     0.00    -1.00    20.54     0.00     0.00    -0.00    -0.00     0.00     0.00    85.10 ******** ********
     0.00   -10.00     6.35     6.40    -1.62    20.58    -0.75     5.89     0.46    -0.05     0.51   -10.38    91.44    27.85    28.84
     0.00   -20.00    12.74    12.93    -2.17    20.62    -3.01    11.03     1.71    -0.19     1.90   -11.12    98.00    13.90    15.01
     0.00   -30.00    19.25    19.67    -2.65    20.66    -6.79    15.66     3.59    -0.42     4.01   -11.72   104.88     9.25    10.47
     0.00   -40.00    25.99    26.71    -3.04    20.72   -12.10    19.97     6.02    -0.73     6.75   -12.09   112.20     6.94     8.25
     0.00   -50.00    33.13    34.21    -3.34    20.78   -18.98    24.17     8.96    -1.08    10.04   -12.04   120.17     5.56     6.95
     0.00   -60.00    40.93    42.33    -3.53    20.85   -27.54    28.48    12.46    -1.39    13.85   -11.17   129.11     4.64     6.11
     0.00   -70.00    49.96    51.38    -3.57    20.94   -38.08    33.27    16.69    -1.42    18.11    -8.52   139.69     4.01     5.52
    -5.00     0.00     0.00    -0.00    -0.94    20.54    -0.54    -0.00    -0.00    -0.01     0.01     0.00    85.16 ******** ********
    -5.00    10.00    -6.41    -6.37    -0.25    20.50    -1.29    -5.90    -0.46     0.04    -0.50    -8.54    78.97    27.82    28.82
    -5.00    20.00   -12.94   -12.76     0.52    20.47    -3.54   -11.05    -1.71     0.18    -1.89   -10.56    72.85    13.88    15.00
    -5.00    30.00   -19.69   -19.28     1.37    20.44    -7.30   -15.68    -3.60     0.41    -4.01   -11.40    66.75     9.24    10.46
    -5.00    40.00   -26.75   -26.04     2.31    20.41   -12.58   -20.00    -6.03     0.71    -6.75   -11.83    60.59     6.93     8.24
    -5.00    50.00   -34.25   -33.19     3.35    20.39   -19.43   -24.21    -8.99     1.06   -10.04   -11.78    54.27     5.55     6.95
    -5.00    60.00   -42.38   -41.02     4.50    20.38   -27.95   -28.53   -12.50     1.36   -13.86   -10.88    47.68     4.64     6.10
    -5.00    70.00   -51.45   -50.09     5.79    20.38   -38.46   -33.34   -16.75     1.36   -18.11    -8.12    40.62     4.00     5.52
    -5.00     0.00     0.00    -0.00    -0.94    20.54    -0.54    -0.00    -0.00    -0.01     0.01     0.00    85.16 ******** ********
    -5.00   -10.00     6.37     6.41    -1.55    20.58    -1.29     5.90     0.46    -0.04     0.50    -8.54    91.50    27.82    28.82
    -5.00   -20.00    12.76    12.94    -2.09    20.62    -3.54    11.05     1.71    -0.18     1.89   -10.56    98.06    13.88    15.00
    -5.00   -30.00    19.28    19.69    -2.56    20.66    -7.30    15.68     3.60    -0.41     4.01   -11.40   104.94     9.24    10.46
    -5.00   -40.00    26.04    26.75    -2.95    20.72   -12.58    20.00     6.03    -0.71     6.75   -11.83   112.27     6.93     8.24
    -5.00   -50.00    33.19    34.25    -3.24    20.78   -19.43    24.21     8.99    -1.06    10.04   -11.78   120.24     5.55     6.95
    -5.00   -60.00    41.02    42.38    -3.43    20.85   -27.95    28.53    12.50    -1.36    13.86   -10.88   129.18     4.64     6.10
    -5.00   -70.00    50.09    51.45    -3.47    20.93   -38.46    33.34    16.75    -1.36    18.11    -8.12   139.77     4.00     5.52
   -10.00     0.00     0.01    -0.01    -0.88    20.54    -1.17    -0.01    -0.00    -0.02     0.02     0.00    85.23 ******** ********
   -10.00    10.00    -6.41    -6.38    -0.20    20.50    -1.92    -5.92    -0.46     0.03    -0.49    -5.99    79.04    27.80    28.80
   -10.00    20.00   -12.96   -12.79     0.56    20.47    -4.16   -11.07    -1.72     0.17    -1.89    -9.79    72.93    13.87    14.98
   -10.00    30.00   -19.71   -19.32     1.40    20.44    -7.90   -15.71    -3.61     0.40    -4.01   -10.97    66.83     9.23    10.45
   -10.00    40.00   -26.78   -26.09     2.33    20.41   -13.16   -20.03    -6.05     0.70    -6.75   -11.50    60.67     6.92     8.24
   -10.00    50.00   -34.29   -33.26     3.35    20.39   -19.98   -24.25    -9.01     1.03   -10.05   -11.48    54.36     5.54     6.94
   -10.00    60.00   -42.44   -41.12     4.49    20.38   -28.48   -28.58   -12.54     1.32   -13.86   -10.54    47.77     4.63     6.10
   -10.00    70.00   -51.51   -50.22     5.76    20.38   -38.97   -33.42   -16.81     1.29   -18.10    -7.68    40.72     4.00     5.51
   -10.00     0.00     0.01    -0.01    -0.88    20.54    -1.17    -0.01    -0.00    -0.02     0.02     0.00    85.23 ******** ********
   -10.00   -10.00     6.38     6.41    -1.49    20.57    -1.92     5.92     0.46    -0.03     0.49    -5.99    91.56    27.80    28.80
   -10.00   -20.00    12.79    12.96    -2.03    20.62    -4.16    11.07     1.72    -0.17     1.89    -9.79    98.12    13.87    14.98
   -10.00   -30.00    19.32    19.71    -2.49    20.66    -7.90    15.71     3.61    -0.40     4.01   -10.97   105.00     9.23    10.45
   -10.00   -40.00    26.09    26.78    -2.86    20.71   -13.16    20.03     6.05    -0.70     6.75   -11.50   112.33     6.92     8.24
   -10.00   -50.00    33.26    34.29    -3.16    20.77   -19.98    24.25     9.01    -1.03    10.05   -11.48   120.30     5.54     6.94
   -10.00   -60.00    41.12    42.44    -3.34    20.84   -28.48    28.58    12.54    -1.32    13.86   -10.54   129.24     4.63     6.10
   -10.00   -70.00    50.22    51.51    -3.37    20.93   -38.97    33.42    16.81    -1.29    18.10    -7.68   139.84     4.00     5.51
   -15.00     0.00     0.02    -0.02    -0.84    20.54    -1.90    -0.02    -0.00    -0.03     0.03     0.00    85.29 ******** ********
   -15.00    10.00    -6.41    -6.40    -0.17    20.50    -2.64    -5.93    -0.47     0.01    -0.48    -2.75    79.11    27.80    28.79
   -15.00    20.00   -12.97   -12.82     0.58    20.47    -4.87   -11.09    -1.72     0.15    -1.88    -8.83    73.00    13.85    14.97
   -15.00    30.00   -19.74   -19.36     1.42    20.44    -8.60   -15.74    -3.62     0.38    -4.00   -10.43    66.91     9.22    10.44
   -15.00    40.00   -26.81   -26.14     2.33    20.42   -13.84   -20.07    -6.07     0.67    -6.74   -11.11    60.76     6.91     8.23
   -15.00    50.00   -34.34   -33.33     3.35    20.40   -20.64   -24.29    -9.04     1.00   -10.04   -11.12    54.46     5.54     6.93
   -15.00    60.00   -42.49   -41.21     4.48    20.38   -29.12   -28.64   -12.57     1.28   -13.85   -10.16    47.89     4.63     6.09
   -15.00    70.00   -51.57   -50.36     5.73    20.39   -39.60   -33.50   -16.87     1.21   -18.08    -7.20    40.85     4.00     5.51
   -15.00     0.00     0.02    -0.02    -0.84    20.54    -1.90    -0.02    -0.00    -0.03     0.03     0.00    85.29 ******** ********
   -15.00   -10.00     6.40     6.41    -1.44    20.57    -2.64     5.93     0.47    -0.01     0.48    -2.75    91.62    27.80    28.79
