
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           Demo data                                           

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]
   -10.00     0.00   100.00    -0.31    -0.31    -0.18     0.18   -10.03   -10.05     0.88    -0.87    -0.18    -0.18     0.01    -0.01    -0.00    17.18
   -10.00     0.00  -100.00    -0.31    -0.32    -0.18     0.18   -10.03   -10.01     0.88    -0.90    -0.18    -0.18     0.01    -0.01     0.00   -17.16
   -15.00   100.00     0.00    -0.47    -0.47    -0.39     0.39   -15.02   -15.04     0.86    -0.84    -0.27    -0.27     0.02    -0.02   -14.00    -0.00
   -15.00  -100.00     0.00    -0.46    -0.47    -0.39     0.39   -15.06   -15.04     0.82    -0.84    -0.27    -0.27     0.01    -0.02    14.03     0.00
   -15.00     0.00   100.00    -0.47    -0.46    -0.39     0.39   -15.04   -15.06     0.84    -0.82    -0.27    -0.27     0.02    -0.01    -0.00    14.03
   -15.00     0.00  -100.00    -0.47    -0.47    -0.39     0.39   -15.04   -15.02     0.84    -0.86    -0.27    -0.27     0.02    -0.02     0.00   -14.00
   -20.00   100.00     0.00    -0.63    -0.62    -0.67     0.67   -20.03   -20.05     0.82    -0.80    -0.36    -0.36     0.03    -0.03   -10.81    -0.00
   -20.00  -100.00     0.00    -0.62    -0.62    -0.67     0.67   -20.06   -20.05     0.78    -0.80    -0.36    -0.36     0.02    -0.03    10.85    -0.00
   -20.00     0.00   100.00    -0.62    -0.62    -0.67     0.67   -20.05   -20.06     0.80    -0.78    -0.36    -0.36     0.03    -0.02    -0.00    10.85
   -20.00     0.00  -100.00    -0.62    -0.63    -0.67     0.67   -20.05   -20.03     0.80    -0.82    -0.36    -0.36     0.03    -0.03     0.00   -10.81
   -25.00   100.00     0.00    -0.79    -0.78    -1.03     1.03   -25.04   -25.06     0.80    -0.78    -0.45    -0.45     0.04    -0.04    -7.59    -0.00
   -25.00  -100.00     0.00    -0.78    -0.78    -1.03     1.03   -25.07   -25.06     0.76    -0.78    -0.45    -0.45     0.03    -0.04     7.63    -0.00
   -25.00     0.00   100.00    -0.78    -0.78    -1.03     1.03   -25.06   -25.07     0.78    -0.76    -0.45    -0.45     0.04    -0.03    -0.00     7.63
   -25.00     0.00  -100.00    -0.78    -0.79    -1.03     1.03   -25.06   -25.04     0.78    -0.80    -0.45    -0.45     0.04    -0.04     0.00    -7.59
   -30.00   100.00     0.00    -0.95    -0.94    -1.47     1.47   -30.05   -30.06     0.78    -0.76    -0.53    -0.53     0.05    -0.05    -4.32    -0.00
   -30.00  -100.00     0.00    -0.94    -0.94    -1.47     1.47   -30.07   -30.06     0.74    -0.76    -0.53    -0.53     0.05    -0.05     4.37    -0.00
   -30.00     0.00   100.00    -0.94    -0.94    -1.47     1.47   -30.06   -30.07     0.76    -0.74    -0.53    -0.53     0.05    -0.05    -0.00     4.37
   -30.00     0.00  -100.00    -0.94    -0.95    -1.47     1.47   -30.06   -30.05     0.76    -0.78    -0.53    -0.53     0.05    -0.05     0.00    -4.32
   -35.00   100.00     0.00    -1.11    -1.10    -1.99     1.99   -35.06   -35.07     0.77    -0.75    -0.62    -0.62     0.06    -0.06    -1.00    -0.00
   -35.00  -100.00     0.00    -1.10    -1.10    -1.99     1.99   -35.07   -35.07     0.73    -0.75    -0.62    -0.62     0.06    -0.06     1.06     0.00
   -35.00     0.00   100.00    -1.10    -1.10    -1.99     1.99   -35.07   -35.07     0.75    -0.73    -0.62    -0.62     0.06    -0.06    -0.00     1.06
   -35.00     0.00  -100.00    -1.10    -1.11    -1.99     1.99   -35.07   -35.06     0.75    -0.77    -0.62    -0.62     0.06    -0.06     0.00    -1.00
   -40.00   100.00     0.00    -1.27    -1.26    -2.60     2.59   -40.07   -40.07     0.77    -0.75    -0.71    -0.71     0.08    -0.08     2.39    -0.00
   -40.00  -100.00     0.00    -1.26    -1.26    -2.59     2.59   -40.07   -40.07     0.73    -0.75    -0.70    -0.71     0.08    -0.08    -2.32    -0.00
   -40.00     0.00   100.00    -1.26    -1.26    -2.59     2.59   -40.07   -40.07     0.75    -0.73    -0.71    -0.70     0.08    -0.08    -0.00    -2.32
   -40.00     0.00  -100.00    -1.26    -1.27    -2.59     2.60   -40.07   -40.07     0.75    -0.77    -0.71    -0.71     0.08    -0.08    -0.00     2.39
