
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           Demo data                                           

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]
   -15.00     0.00  -100.00    -0.47    -0.56    -0.39     0.37   -15.04   -15.04     0.84    -0.84    -0.27    -0.28     0.02    -0.11     0.00     2.48
   -20.00   100.00     0.00    -0.72    -0.62    -0.65     0.67   -20.05   -20.05     0.81    -0.80    -0.37    -0.36     0.12    -0.03     3.08    -0.00
   -20.00  -100.00     0.00    -0.53    -0.62    -0.69     0.67   -20.05   -20.05     0.80    -0.80    -0.35    -0.36    -0.07    -0.03    -2.87     0.00
   -20.00     0.00   100.00    -0.62    -0.53    -0.67     0.69   -20.05   -20.05     0.80    -0.80    -0.36    -0.35     0.03     0.07    -0.00    -2.87
   -20.00     0.00  -100.00    -0.62    -0.72    -0.67     0.65   -20.05   -20.05     0.80    -0.81    -0.36    -0.37     0.03    -0.12     0.00     3.08
   -25.00   100.00     0.00    -0.88    -0.78    -1.01     1.03   -25.06   -25.06     0.78    -0.78    -0.46    -0.45     0.13    -0.04     3.66    -0.00
   -25.00  -100.00     0.00    -0.68    -0.78    -1.05     1.03   -25.05   -25.06     0.78    -0.78    -0.43    -0.45    -0.06    -0.04    -3.41     0.00
   -25.00     0.00   100.00    -0.78    -0.68    -1.03     1.05   -25.06   -25.05     0.78    -0.78    -0.45    -0.43     0.04     0.06    -0.00    -3.41
   -25.00     0.00  -100.00    -0.78    -0.88    -1.03     1.01   -25.06   -25.06     0.78    -0.78    -0.45    -0.46     0.04    -0.13     0.00     3.66
   -30.00   100.00     0.00    -1.04    -0.94    -1.45     1.47   -30.07   -30.06     0.76    -0.76    -0.55    -0.53     0.14    -0.05     4.23    -0.00
   -30.00  -100.00     0.00    -0.84    -0.94    -1.49     1.47   -30.06   -30.06     0.76    -0.76    -0.52    -0.53    -0.05    -0.05    -3.94     0.00
   -30.00     0.00   100.00    -0.94    -0.84    -1.47     1.49   -30.06   -30.06     0.76    -0.76    -0.53    -0.52     0.05     0.05    -0.00    -3.94
   -30.00     0.00  -100.00    -0.94    -1.04    -1.47     1.45   -30.06   -30.07     0.76    -0.76    -0.53    -0.55     0.05    -0.14    -0.00     4.23
   -35.00   100.00     0.00    -1.20    -1.10    -1.97     1.99   -35.07   -35.07     0.75    -0.75    -0.64    -0.62     0.16    -0.06     4.78    -0.00
   -35.00  -100.00     0.00    -1.00    -1.10    -2.01     1.99   -35.06   -35.07     0.75    -0.75    -0.60    -0.62    -0.03    -0.06    -4.44     0.00
   -35.00     0.00   100.00    -1.10    -1.00    -1.99     2.01   -35.07   -35.06     0.75    -0.75    -0.62    -0.60     0.06     0.03    -0.00    -4.44
   -35.00     0.00  -100.00    -1.10    -1.20    -1.99     1.97   -35.07   -35.07     0.75    -0.75    -0.62    -0.64     0.06    -0.16     0.00     4.78
   -40.00   100.00     0.00    -1.36    -1.26    -2.57     2.59   -40.07   -40.07     0.76    -0.75    -0.73    -0.71     0.17    -0.08     5.32    -0.00
   -40.00  -100.00     0.00    -1.16    -1.26    -2.61     2.59   -40.06   -40.07     0.75    -0.75    -0.69    -0.71    -0.02    -0.08    -4.93    -0.00
   -40.00     0.00   100.00    -1.26    -1.16    -2.59     2.61   -40.07   -40.06     0.75    -0.75    -0.71    -0.69     0.08     0.02    -0.00    -4.93
   -40.00     0.00  -100.00    -1.26    -1.36    -2.59     2.57   -40.07   -40.07     0.75    -0.76    -0.71    -0.73     0.08    -0.17     0.00     5.32
