
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           Demo data                                           

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]
    35.00  -100.00     0.00     1.09     1.06    -1.75     1.75    35.11    35.14     1.69    -1.69     0.56     0.66     0.02    -0.02    33.78    -0.00
    35.00     0.00   100.00     1.06     1.02    -1.75     1.76    35.14    35.18     1.69    -1.69     0.66     0.75     0.02    -0.02     0.00   -33.68
    35.00     0.00  -100.00     1.06     1.09    -1.75     1.75    35.14    35.11     1.69    -1.69     0.66     0.56     0.02    -0.02    -0.00    33.78
    40.00   100.00     0.00     1.17     1.20    -2.31     2.30    40.20    40.17     1.82    -1.82     0.85     0.75     0.03    -0.03   -33.91     0.00
    40.00  -100.00     0.00     1.24     1.20    -2.30     2.30    40.14    40.17     1.82    -1.82     0.66     0.75     0.03    -0.03    34.01     0.00
    40.00     0.00   100.00     1.20     1.17    -2.30     2.31    40.17    40.20     1.82    -1.82     0.75     0.85     0.03    -0.03     0.00   -33.91
    40.00     0.00  -100.00     1.20     1.24    -2.30     2.30    40.17    40.14     1.82    -1.82     0.75     0.66     0.03    -0.03    -0.00    34.01
    -5.00   100.00     0.00    -0.18    -0.15    -0.05     0.05    -4.98    -5.01     0.94    -0.94     0.01    -0.09    -0.01    -0.00   -31.63    -0.00
    -5.00  -100.00     0.00    -0.13    -0.15    -0.05     0.05    -5.05    -5.01     0.94    -0.94    -0.19    -0.09     0.01    -0.00    31.73    -0.00
    -5.00     0.00   100.00    -0.15    -0.18    -0.05     0.05    -5.01    -4.98     0.94    -0.94    -0.09     0.01     0.00     0.01     0.00   -31.63
    -5.00     0.00  -100.00    -0.15    -0.13    -0.05     0.05    -5.01    -5.05     0.94    -0.94    -0.09    -0.19     0.00    -0.01    -0.00    31.73
   -10.00   100.00     0.00    -0.33    -0.31    -0.18     0.18   -10.00   -10.03     0.88    -0.88    -0.08    -0.18    -0.00    -0.01   -31.36    -0.00
   -10.00  -100.00     0.00    -0.29    -0.31    -0.18     0.18   -10.06   -10.03     0.88    -0.88    -0.28    -0.18     0.02    -0.01    31.45     0.00
   -10.00     0.00   100.00    -0.31    -0.33    -0.18     0.18   -10.03   -10.00     0.88    -0.88    -0.18    -0.08     0.01     0.00     0.00   -31.36
   -10.00     0.00  -100.00    -0.31    -0.29    -0.18     0.18   -10.03   -10.06     0.88    -0.88    -0.18    -0.28     0.01    -0.02     0.00    31.45
   -15.00   100.00     0.00    -0.49    -0.47    -0.39     0.39   -15.01   -15.04     0.84    -0.84    -0.17    -0.27     0.00    -0.02   -31.08    -0.00
   -15.00  -100.00     0.00    -0.45    -0.47    -0.39     0.39   -15.07   -15.04     0.84    -0.84    -0.37    -0.27     0.03    -0.02    31.18     0.00
   -15.00     0.00   100.00    -0.47    -0.49    -0.39     0.39   -15.04   -15.01     0.84    -0.84    -0.27    -0.17     0.02    -0.00     0.00   -31.08
   -15.00     0.00  -100.00    -0.47    -0.45    -0.39     0.39   -15.04   -15.07     0.84    -0.84    -0.27    -0.37     0.02    -0.03     0.00    31.18
   -20.00   100.00     0.00    -0.64    -0.62    -0.67     0.67   -20.02   -20.05     0.80    -0.80    -0.26    -0.36     0.01    -0.03   -30.79    -0.00
   -20.00  -100.00     0.00    -0.61    -0.62    -0.67     0.67   -20.08   -20.05     0.80    -0.80    -0.46    -0.36     0.04    -0.03    30.89     0.00
   -20.00     0.00   100.00    -0.62    -0.64    -0.67     0.67   -20.05   -20.02     0.80    -0.80    -0.36    -0.26     0.03    -0.01     0.00   -30.79
   -20.00     0.00  -100.00    -0.62    -0.61    -0.67     0.67   -20.05   -20.08     0.80    -0.80    -0.36    -0.46     0.03    -0.04     0.00    30.89
   -25.00   100.00     0.00    -0.80    -0.78    -1.03     1.03   -25.02   -25.06     0.78    -0.78    -0.35    -0.45     0.02    -0.04   -30.50    -0.00
   -25.00  -100.00     0.00    -0.77    -0.78    -1.04     1.03   -25.09   -25.06     0.78    -0.78    -0.55    -0.45     0.05    -0.04    30.60     0.00
   -25.00     0.00   100.00    -0.78    -0.80    -1.03     1.03   -25.06   -25.02     0.78    -0.78    -0.45    -0.35     0.04    -0.02     0.00   -30.50
   -25.00     0.00  -100.00    -0.78    -0.77    -1.03     1.04   -25.06   -25.09     0.78    -0.78    -0.45    -0.55     0.04    -0.05    -0.00    30.60
   -30.00   100.00     0.00    -0.96    -0.94    -1.47     1.47   -30.03   -30.06     0.76    -0.76    -0.43    -0.53     0.03    -0.05   -30.21    -0.00
   -30.00  -100.00     0.00    -0.93    -0.94    -1.48     1.47   -30.10   -30.06     0.76    -0.76    -0.64    -0.53     0.07    -0.05    30.31     0.00
   -30.00     0.00   100.00    -0.94    -0.96    -1.47     1.47   -30.06   -30.03     0.76    -0.76    -0.53    -0.43     0.05    -0.03     0.00   -30.21
   -30.00     0.00  -100.00    -0.94    -0.93    -1.47     1.48   -30.06   -30.10     0.76    -0.76    -0.53    -0.64     0.05    -0.07     0.00    30.31
   -35.00   100.00     0.00    -1.11    -1.10    -1.99     1.99   -35.03   -35.07     0.75    -0.75    -0.52    -0.62     0.04    -0.06   -29.91    -0.00
   -35.00  -100.00     0.00    -1.09    -1.10    -2.00     1.99   -35.10   -35.07     0.75    -0.75    -0.72    -0.62     0.08    -0.06    30.02    -0.00
   -35.00     0.00   100.00    -1.10    -1.11    -1.99     1.99   -35.07   -35.03     0.75    -0.75    -0.62    -0.52     0.06    -0.04     0.00   -29.91
   -35.00     0.00  -100.00    -1.10    -1.09    -1.99     2.00   -35.07   -35.10     0.75    -0.75    -0.62    -0.72     0.06    -0.08     0.00    30.02
   -40.00   100.00     0.00    -1.27    -1.26    -2.59     2.59   -40.03   -40.07     0.75    -0.75    -0.60    -0.71     0.06    -0.08   -29.61    -0.00
   -40.00  -100.00     0.00    -1.25    -1.26    -2.60     2.59   -40.10   -40.07     0.75    -0.75    -0.81    -0.71     0.10    -0.08    29.72     0.00
   -40.00     0.00   100.00    -1.26    -1.27    -2.59     2.59   -40.07   -40.03     0.75    -0.75    -0.71    -0.60     0.08    -0.06     0.00   -29.61
   -40.00     0.00  -100.00    -1.26    -1.25    -2.59     2.60   -40.07   -40.10     0.75    -0.75    -0.71    -0.81     0.08    -0.10     0.00    29.72
