
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            Demo data                                           

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00 -1000.00     0.76     0.57    -0.88     0.86    25.10    25.07     1.45    -1.45     0.47     0.48     0.00    -0.06    -0.00    29.95
    30.00  1000.00     0.00     1.10     0.91    -1.29     1.28    30.15    30.12     1.56    -1.56     0.54     0.56    -0.05    -0.01   -29.90     0.00
    30.00 -1000.00     0.00     0.72     0.91    -1.26     1.28    30.09    30.12     1.56    -1.56     0.58     0.56     0.07    -0.01    29.75     0.00
    30.00     0.00  1000.00     0.91     1.10    -1.28     1.29    30.12    30.15     1.56    -1.56     0.56     0.54     0.01     0.05    -0.00   -29.90
    30.00     0.00 -1000.00     0.91     0.72    -1.28     1.26    30.12    30.09     1.56    -1.56     0.56     0.58     0.01    -0.07    -0.00    29.75
    35.00  1000.00     0.00     1.25     1.06    -1.77     1.75    35.17    35.14     1.68    -1.69     0.64     0.66    -0.04    -0.02   -29.70     0.00
    35.00 -1000.00     0.00     0.87     1.06    -1.74     1.75    35.11    35.14     1.69    -1.69     0.68     0.66     0.08    -0.02    29.55     0.00
    35.00     0.00  1000.00     1.06     1.25    -1.75     1.77    35.14    35.17     1.69    -1.68     0.66     0.64     0.02     0.04    -0.00   -29.70
    35.00     0.00 -1000.00     1.06     0.87    -1.75     1.74    35.14    35.11     1.69    -1.69     0.66     0.68     0.02    -0.08    -0.00    29.55
    40.00  1000.00     0.00     1.40     1.20    -2.32     2.30    40.20    40.17     1.82    -1.82     0.73     0.75    -0.03    -0.03   -29.51     0.00
    40.00 -1000.00     0.00     1.01     1.20    -2.29     2.30    40.14    40.17     1.82    -1.82     0.77     0.75     0.09    -0.03    29.34     0.00
    40.00     0.00  1000.00     1.20     1.40    -2.30     2.32    40.17    40.20     1.82    -1.82     0.75     0.73     0.03     0.03    -0.00   -29.51
    40.00     0.00 -1000.00     1.20     1.01    -2.30     2.29    40.17    40.14     1.82    -1.82     0.75     0.77     0.03    -0.09     0.00    29.34
    -5.00  1000.00     0.00     0.03    -0.15    -0.06     0.05    -4.98    -5.01     0.93    -0.94    -0.10    -0.09    -0.05    -0.00   -31.14    -0.00
    -5.00 -1000.00     0.00    -0.34    -0.15    -0.04     0.05    -5.05    -5.01     0.94    -0.94    -0.08    -0.09     0.06    -0.00    31.06    -0.00
    -5.00     0.00  1000.00    -0.15     0.03    -0.05     0.06    -5.01    -4.98     0.94    -0.93    -0.09    -0.10     0.00     0.05    -0.00   -31.14
    -5.00     0.00 -1000.00    -0.15    -0.34    -0.05     0.04    -5.01    -5.05     0.94    -0.94    -0.09    -0.08     0.00    -0.06    -0.00    31.06
   -10.00  1000.00     0.00    -0.13    -0.31    -0.19     0.18   -10.00   -10.03     0.88    -0.88    -0.19    -0.18    -0.05    -0.01   -31.30    -0.00
   -10.00 -1000.00     0.00    -0.49    -0.31    -0.17     0.18   -10.06   -10.03     0.89    -0.88    -0.17    -0.18     0.07    -0.01    31.23    -0.00
   -10.00     0.00  1000.00    -0.31    -0.13    -0.18     0.19   -10.03   -10.00     0.88    -0.88    -0.18    -0.19     0.01     0.05    -0.00   -31.30
   -10.00     0.00 -1000.00    -0.31    -0.49    -0.18     0.17   -10.03   -10.06     0.88    -0.89    -0.18    -0.17     0.01    -0.07    -0.00    31.23
   -15.00  1000.00     0.00    -0.28    -0.47    -0.40     0.39   -15.01   -15.04     0.84    -0.84    -0.28    -0.27    -0.04    -0.02   -31.45    -0.00
   -15.00 -1000.00     0.00    -0.65    -0.47    -0.38     0.39   -15.07   -15.04     0.84    -0.84    -0.26    -0.27     0.07    -0.02    31.39     0.00
   -15.00     0.00  1000.00    -0.47    -0.28    -0.39     0.40   -15.04   -15.01     0.84    -0.84    -0.27    -0.28     0.02     0.04    -0.00   -31.45
   -15.00     0.00 -1000.00    -0.47    -0.65    -0.39     0.38   -15.04   -15.07     0.84    -0.84    -0.27    -0.26     0.02    -0.07     0.00    31.39
   -20.00  1000.00     0.00    -0.44    -0.62    -0.68     0.67   -20.02   -20.05     0.80    -0.80    -0.37    -0.36    -0.03    -0.03   -31.59    -0.00
   -20.00 -1000.00     0.00    -0.81    -0.62    -0.66     0.67   -20.08   -20.05     0.81    -0.80    -0.35    -0.36     0.08    -0.03    31.54     0.00
   -20.00     0.00  1000.00    -0.62    -0.44    -0.67     0.68   -20.05   -20.02     0.80    -0.80    -0.36    -0.37     0.03     0.03    -0.00   -31.59
   -20.00     0.00 -1000.00    -0.62    -0.81    -0.67     0.66   -20.05   -20.08     0.80    -0.81    -0.36    -0.35     0.03    -0.08     0.00    31.54
   -25.00  1000.00     0.00    -0.60    -0.78    -1.04     1.03   -25.02   -25.06     0.77    -0.78    -0.46    -0.45    -0.02    -0.04   -31.72    -0.00
   -25.00 -1000.00     0.00    -0.97    -0.78    -1.02     1.03   -25.09   -25.06     0.78    -0.78    -0.44    -0.45     0.09    -0.04    31.69    -0.00
   -25.00     0.00  1000.00    -0.78    -0.60    -1.03     1.04   -25.06   -25.02     0.78    -0.77    -0.45    -0.46     0.04     0.02    -0.00   -31.72
   -25.00     0.00 -1000.00    -0.78    -0.97    -1.03     1.02   -25.06   -25.09     0.78    -0.78    -0.45    -0.44     0.04    -0.09    -0.00    31.69
   -30.00  1000.00     0.00    -0.76    -0.94    -1.48     1.47   -30.03   -30.06     0.76    -0.76    -0.54    -0.53    -0.01    -0.05   -31.85    -0.00
   -30.00 -1000.00     0.00    -1.12    -0.94    -1.46     1.47   -30.09   -30.06     0.76    -0.76    -0.53    -0.53     0.10    -0.05    31.82     0.00
   -30.00     0.00  1000.00    -0.94    -0.76    -1.47     1.48   -30.06   -30.03     0.76    -0.76    -0.53    -0.54     0.05     0.01    -0.00   -31.85
   -30.00     0.00 -1000.00    -0.94    -1.12    -1.47     1.46   -30.06   -30.09     0.76    -0.76    -0.53    -0.53     0.05    -0.10    -0.00    31.82
   -35.00  1000.00     0.00    -0.92    -1.10    -2.00     1.99   -35.03   -35.07     0.75    -0.75    -0.63    -0.62     0.01    -0.06   -31.96    -0.00
   -35.00 -1000.00     0.00    -1.28    -1.10    -1.98     1.99   -35.10   -35.07     0.75    -0.75    -0.61    -0.62     0.12    -0.06    31.95    -0.00
   -35.00     0.00  1000.00    -1.10    -0.92    -1.99     2.00   -35.07   -35.03     0.75    -0.75    -0.62    -0.63     0.06    -0.01    -0.00   -31.96
   -35.00     0.00 -1000.00    -1.10    -1.28    -1.99     1.98   -35.07   -35.10     0.75    -0.75    -0.62    -0.61     0.06    -0.12    -0.00    31.95
   -40.00  1000.00     0.00    -1.08    -1.26    -2.60     2.59   -40.04   -40.07     0.75    -0.75    -0.71    -0.71     0.02    -0.08   -32.06    -0.00
   -40.00 -1000.00     0.00    -1.44    -1.26    -2.59     2.59   -40.10   -40.07     0.76    -0.75    -0.70    -0.71     0.13    -0.08    32.06    -0.00
   -40.00     0.00  1000.00    -1.26    -1.08    -2.59     2.60   -40.07   -40.04     0.75    -0.75    -0.71    -0.71     0.08    -0.02    -0.00   -32.06
   -40.00     0.00 -1000.00    -1.26    -1.44    -2.59     2.59   -40.07   -40.10     0.75    -0.76    -0.71    -0.70     0.08    -0.13     0.00    32.06
