
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            Demo data                                           

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00 -1000.00     3.63     3.35    -0.11     0.05    25.13    24.99     1.68    -1.68    -0.09    -0.10    -1.43     1.34    -0.00   128.80
    30.00  1000.00     0.00     4.53     4.25    -0.42     0.36    30.28    30.15     1.84    -1.84    -0.11    -0.12    -1.81     1.71  -121.97     0.00
    30.00 -1000.00     0.00     3.97     4.25    -0.29     0.36    30.03    30.15     1.83    -1.84    -0.12    -0.12    -1.62     1.71   122.20    -0.00
    30.00     0.00  1000.00     4.25     4.53    -0.36     0.42    30.15    30.28     1.84    -1.84    -0.12    -0.11    -1.71     1.81     0.00  -121.97
    30.00     0.00 -1000.00     4.25     3.97    -0.36     0.29    30.15    30.03     1.84    -1.83    -0.12    -0.12    -1.71     1.62     0.00   122.20
    35.00  1000.00     0.00     5.12     4.84    -0.74     0.68    35.30    35.18     2.00    -2.00    -0.14    -0.14    -2.08     1.99  -115.45     0.00
    35.00 -1000.00     0.00     4.57     4.84    -0.61     0.68    35.06    35.18     2.00    -2.00    -0.15    -0.14    -1.90     1.99   115.66     0.00
    35.00     0.00  1000.00     4.84     5.12    -0.68     0.74    35.18    35.30     2.00    -2.00    -0.14    -0.14    -1.99     2.08     0.00  -115.45
    35.00     0.00 -1000.00     4.84     4.57    -0.68     0.61    35.18    35.06     2.00    -2.00    -0.14    -0.15    -1.99     1.90     0.00   115.66
    40.00  1000.00     0.00     5.67     5.40    -1.14     1.07    40.32    40.21     2.17    -2.17    -0.17    -0.17    -2.36     2.27  -108.99     0.00
    40.00 -1000.00     0.00     5.13     5.40    -1.00     1.07    40.09    40.21     2.16    -2.17    -0.18    -0.17    -2.17     2.27   109.16     0.00
    40.00     0.00  1000.00     5.40     5.67    -1.07     1.14    40.21    40.32     2.17    -2.17    -0.17    -0.17    -2.27     2.36     0.00  -108.99
    40.00     0.00 -1000.00     5.40     5.13    -1.07     1.00    40.21    40.09     2.17    -2.16    -0.17    -0.18    -2.27     2.17     0.00   109.16
    -5.00  1000.00     0.00    -0.54    -0.83    -0.25     0.21    -4.85    -5.02     0.89    -0.88     0.02     0.01     0.20    -0.29  -169.49    -0.00
    -5.00 -1000.00     0.00    -1.12    -0.83    -0.17     0.21    -5.20    -5.02     0.88    -0.88     0.00     0.01     0.39    -0.29   169.97    -0.00
    -5.00     0.00  1000.00    -0.83    -0.54    -0.21     0.25    -5.02    -4.85     0.88    -0.89     0.01     0.02     0.29    -0.20     0.00  -169.49
    -5.00     0.00 -1000.00    -0.83    -1.12    -0.21     0.17    -5.02    -5.20     0.88    -0.88     0.01     0.00     0.29    -0.39     0.00   169.97
   -10.00  1000.00     0.00    -1.40    -1.69    -0.53     0.49    -9.86   -10.05     0.78    -0.77     0.03     0.02     0.49    -0.59  -176.64    -0.00
   -10.00 -1000.00     0.00    -1.98    -1.69    -0.45     0.49   -10.23   -10.05     0.76    -0.77     0.01     0.02     0.69    -0.59   177.17     0.00
   -10.00     0.00  1000.00    -1.69    -1.40    -0.49     0.53   -10.05    -9.86     0.77    -0.78     0.02     0.03     0.59    -0.49     0.00  -176.64
   -10.00     0.00 -1000.00    -1.69    -1.98    -0.49     0.45   -10.05   -10.23     0.77    -0.76     0.02     0.01     0.59    -0.69     0.00   177.17
   -15.00  1000.00     0.00    -2.30    -2.59    -0.88     0.85   -14.88   -15.07     0.67    -0.66     0.04     0.03     0.79    -0.89  -183.92    -0.00
   -15.00 -1000.00     0.00    -2.89    -2.59    -0.82     0.85   -15.26   -15.07     0.66    -0.66     0.02     0.03     0.99    -0.89   184.49    -0.00
   -15.00     0.00  1000.00    -2.59    -2.30    -0.85     0.88   -15.07   -14.88     0.66    -0.67     0.03     0.04     0.89    -0.79     0.00  -183.92
   -15.00     0.00 -1000.00    -2.59    -2.89    -0.85     0.82   -15.07   -15.26     0.66    -0.66     0.03     0.02     0.89    -0.99    -0.00   184.49
   -20.00  1000.00     0.00    -3.23    -3.53    -1.32     1.29   -19.89   -20.09     0.57    -0.56     0.04     0.03     1.10    -1.20  -191.32    -0.00
   -20.00 -1000.00     0.00    -3.83    -3.53    -1.26     1.29   -20.29   -20.09     0.56    -0.56     0.02     0.03     1.30    -1.20   191.94     0.00
   -20.00     0.00  1000.00    -3.53    -3.23    -1.29     1.32   -20.09   -19.89     0.56    -0.57     0.03     0.04     1.20    -1.10     0.00  -191.32
   -20.00     0.00 -1000.00    -3.53    -3.83    -1.29     1.26   -20.09   -20.29     0.56    -0.56     0.03     0.02     1.20    -1.30     0.00   191.94
   -25.00  1000.00     0.00    -4.20    -4.50    -1.84     1.81   -24.90   -25.11     0.48    -0.47     0.04     0.03     1.40    -1.51  -198.86    -0.00
   -25.00 -1000.00     0.00    -4.80    -4.50    -1.79     1.81   -25.32   -25.11     0.46    -0.47     0.02     0.03     1.61    -1.51   199.53     0.00
   -25.00     0.00  1000.00    -4.50    -4.20    -1.81     1.84   -25.11   -24.90     0.47    -0.48     0.03     0.04     1.51    -1.40     0.00  -198.86
   -25.00     0.00 -1000.00    -4.50    -4.80    -1.81     1.79   -25.11   -25.32     0.47    -0.46     0.03     0.02     1.51    -1.61     0.00   199.53
   -30.00  1000.00     0.00    -5.21    -5.52    -2.43     2.41   -29.91   -30.13     0.39    -0.38     0.04     0.03     1.72    -1.82  -206.55    -0.00
   -30.00 -1000.00     0.00    -5.82    -5.52    -2.39     2.41   -30.34   -30.13     0.38    -0.38     0.01     0.03     1.92    -1.82   207.27    -0.00
   -30.00     0.00  1000.00    -5.52    -5.21    -2.41     2.43   -30.13   -29.91     0.38    -0.39     0.03     0.04     1.82    -1.72     0.00  -206.55
   -30.00     0.00 -1000.00    -5.52    -5.82    -2.41     2.39   -30.13   -30.34     0.38    -0.38     0.03     0.01     1.82    -1.92     0.00   207.27
   -35.00  1000.00     0.00    -6.26    -6.57    -3.11     3.09   -34.92   -35.15     0.31    -0.30     0.04     0.02     2.03    -2.14  -214.41    -0.00
   -35.00 -1000.00     0.00    -6.87    -6.57    -3.08     3.09   -35.37   -35.15     0.29    -0.30     0.01     0.02     2.24    -2.14   215.18     0.00
   -35.00     0.00  1000.00    -6.57    -6.26    -3.09     3.11   -35.15   -34.92     0.30    -0.31     0.02     0.04     2.14    -2.03     0.00  -214.41
   -35.00     0.00 -1000.00    -6.57    -6.87    -3.09     3.08   -35.15   -35.37     0.30    -0.29     0.02     0.01     2.14    -2.24     0.00   215.18
   -40.00  1000.00     0.00    -7.35    -7.66    -3.87     3.86   -39.93   -40.16     0.23    -0.23     0.03     0.01     2.35    -2.46  -222.45    -0.00
   -40.00 -1000.00     0.00    -7.97    -7.66    -3.85     3.86   -40.40   -40.16     0.22    -0.23    -0.01     0.01     2.56    -2.46   223.28     0.00
   -40.00     0.00  1000.00    -7.66    -7.35    -3.86     3.87   -40.16   -39.93     0.23    -0.23     0.01     0.03     2.46    -2.35     0.00  -222.45
   -40.00     0.00 -1000.00    -7.66    -7.97    -3.86     3.85   -40.16   -40.40     0.23    -0.22     0.01    -0.01     2.46    -2.56    -0.00   223.28
