
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            Demo data                                           

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00 -1000.00     3.63     3.56    -0.11     0.06    25.13    25.08     1.68    -1.68    -0.09    -0.09    -1.43     1.42    -0.00    41.89
    30.00  1000.00     0.00     4.19     4.25    -0.31     0.36    30.09    30.15     1.83    -1.84    -0.12    -0.12    -1.70     1.71    56.78     0.00
    30.00 -1000.00     0.00     4.31     4.25    -0.41     0.36    30.21    30.15     1.84    -1.84    -0.12    -0.12    -1.73     1.71   -57.17     0.00
    30.00     0.00  1000.00     4.25     4.31    -0.36     0.41    30.15    30.21     1.84    -1.84    -0.12    -0.12    -1.71     1.73     0.00   -57.17
    30.00     0.00 -1000.00     4.25     4.19    -0.36     0.31    30.15    30.09     1.84    -1.83    -0.12    -0.12    -1.71     1.70    -0.00    56.78
    35.00  1000.00     0.00     4.78     4.84    -0.62     0.68    35.10    35.18     1.99    -2.00    -0.14    -0.14    -1.97     1.99    71.62     0.00
    35.00 -1000.00     0.00     4.91     4.84    -0.73     0.68    35.25    35.18     2.00    -2.00    -0.14    -0.14    -2.01     1.99   -72.11     0.00
    35.00     0.00  1000.00     4.84     4.91    -0.68     0.73    35.18    35.25     2.00    -2.00    -0.14    -0.14    -1.99     2.01     0.00   -72.11
    35.00     0.00 -1000.00     4.84     4.78    -0.68     0.62    35.18    35.10     2.00    -1.99    -0.14    -0.14    -1.99     1.97    -0.00    71.62
    40.00  1000.00     0.00     5.33     5.40    -1.02     1.07    40.12    40.21     2.16    -2.17    -0.17    -0.17    -2.25     2.27    86.43     0.00
    40.00 -1000.00     0.00     5.47     5.40    -1.13     1.07    40.30    40.21     2.17    -2.17    -0.17    -0.17    -2.28     2.27   -87.01    -0.00
    40.00     0.00  1000.00     5.40     5.47    -1.07     1.13    40.21    40.30     2.17    -2.17    -0.17    -0.17    -2.27     2.28     0.00   -87.01
    40.00     0.00 -1000.00     5.40     5.33    -1.07     1.02    40.21    40.12     2.17    -2.16    -0.17    -0.17    -2.27     2.25    -0.00    86.43
    -5.00  1000.00     0.00    -0.87    -0.83    -0.16     0.21    -4.97    -5.02     0.88    -0.88     0.01     0.01     0.30    -0.29   -48.95    -0.00
    -5.00 -1000.00     0.00    -0.79    -0.83    -0.25     0.21    -5.07    -5.02     0.89    -0.88     0.01     0.01     0.29    -0.29    49.27     0.00
    -5.00     0.00  1000.00    -0.83    -0.79    -0.21     0.25    -5.02    -5.07     0.88    -0.89     0.01     0.01     0.29    -0.29    -0.00    49.27
    -5.00     0.00 -1000.00    -0.83    -0.87    -0.21     0.16    -5.02    -4.97     0.88    -0.88     0.01     0.01     0.29    -0.30    -0.00   -48.95
   -10.00  1000.00     0.00    -1.73    -1.69    -0.44     0.49    -9.98   -10.05     0.76    -0.77     0.02     0.02     0.60    -0.59   -64.46    -0.00
   -10.00 -1000.00     0.00    -1.66    -1.69    -0.54     0.49   -10.11   -10.05     0.78    -0.77     0.02     0.02     0.59    -0.59    64.89     0.00
   -10.00     0.00  1000.00    -1.69    -1.66    -0.49     0.54   -10.05   -10.11     0.77    -0.78     0.02     0.02     0.59    -0.59    -0.00    64.89
   -10.00     0.00 -1000.00    -1.69    -1.73    -0.49     0.44   -10.05    -9.98     0.77    -0.76     0.02     0.02     0.59    -0.60     0.00   -64.46
   -15.00  1000.00     0.00    -2.63    -2.59    -0.80     0.85   -14.99   -15.07     0.66    -0.66     0.02     0.03     0.90    -0.89   -80.12    -0.00
   -15.00 -1000.00     0.00    -2.56    -2.59    -0.90     0.85   -15.15   -15.07     0.67    -0.66     0.03     0.03     0.89    -0.89    80.65     0.00
   -15.00     0.00  1000.00    -2.59    -2.56    -0.85     0.90   -15.07   -15.15     0.66    -0.67     0.03     0.03     0.89    -0.89    -0.00    80.65
   -15.00     0.00 -1000.00    -2.59    -2.63    -0.85     0.80   -15.07   -14.99     0.66    -0.66     0.03     0.02     0.89    -0.90     0.00   -80.12
   -20.00  1000.00     0.00    -3.56    -3.53    -1.24     1.29   -19.99   -20.09     0.56    -0.56     0.03     0.03     1.20    -1.20   -95.92    -0.00
   -20.00 -1000.00     0.00    -3.50    -3.53    -1.35     1.29   -20.19   -20.09     0.57    -0.56     0.03     0.03     1.19    -1.20    96.58     0.00
   -20.00     0.00  1000.00    -3.53    -3.50    -1.29     1.35   -20.09   -20.19     0.56    -0.57     0.03     0.03     1.20    -1.19    -0.00    96.58
   -20.00     0.00 -1000.00    -3.53    -3.56    -1.29     1.24   -20.09   -19.99     0.56    -0.56     0.03     0.03     1.20    -1.20    -0.00   -95.92
   -25.00  1000.00     0.00    -4.53    -4.50    -1.75     1.81   -25.00   -25.11     0.46    -0.47     0.03     0.03     1.51    -1.51  -111.90    -0.00
   -25.00 -1000.00     0.00    -4.48    -4.50    -1.87     1.81   -25.22   -25.11     0.48    -0.47     0.03     0.03     1.50    -1.51   112.68     0.00
   -25.00     0.00  1000.00    -4.50    -4.48    -1.81     1.87   -25.11   -25.22     0.47    -0.48     0.03     0.03     1.51    -1.50    -0.00   112.68
   -25.00     0.00 -1000.00    -4.50    -4.53    -1.81     1.75   -25.11   -25.00     0.47    -0.46     0.03     0.03     1.51    -1.51     0.00  -111.90
   -30.00  1000.00     0.00    -5.53    -5.52    -2.35     2.41   -30.00   -30.13     0.38    -0.38     0.02     0.03     1.82    -1.82  -128.07    -0.00
   -30.00 -1000.00     0.00    -5.50    -5.52    -2.48     2.41   -30.26   -30.13     0.39    -0.38     0.03     0.03     1.82    -1.82   128.98     0.00
   -30.00     0.00  1000.00    -5.52    -5.50    -2.41     2.48   -30.13   -30.26     0.38    -0.39     0.03     0.03     1.82    -1.82    -0.00   128.98
   -30.00     0.00 -1000.00    -5.52    -5.53    -2.41     2.35   -30.13   -30.00     0.38    -0.38     0.03     0.02     1.82    -1.82    -0.00  -128.07
   -35.00  1000.00     0.00    -6.58    -6.57    -3.03     3.09   -35.00   -35.15     0.29    -0.30     0.02     0.02     2.13    -2.14  -144.46    -0.00
   -35.00 -1000.00     0.00    -6.56    -6.57    -3.16     3.09   -35.30   -35.15     0.31    -0.30     0.02     0.02     2.14    -2.14   145.49     0.00
   -35.00     0.00  1000.00    -6.57    -6.56    -3.09     3.16   -35.15   -35.30     0.30    -0.31     0.02     0.02     2.14    -2.14     0.00   145.49
   -35.00     0.00 -1000.00    -6.57    -6.58    -3.09     3.03   -35.15   -35.00     0.30    -0.29     0.02     0.02     2.14    -2.13    -0.00  -144.46
   -40.00  1000.00     0.00    -7.67    -7.66    -3.79     3.86   -40.00   -40.16     0.22    -0.23     0.01     0.01     2.46    -2.46  -161.07    -0.00
   -40.00 -1000.00     0.00    -7.65    -7.66    -3.93     3.86   -40.33   -40.16     0.23    -0.23     0.01     0.01     2.46    -2.46   162.25     0.00
   -40.00     0.00  1000.00    -7.66    -7.65    -3.86     3.93   -40.16   -40.33     0.23    -0.23     0.01     0.01     2.46    -2.46     0.00   162.25
   -40.00     0.00 -1000.00    -7.66    -7.67    -3.86     3.79   -40.16   -40.00     0.23    -0.22     0.01     0.01     2.46    -2.46     0.00  -161.07
