
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Demo data                                           

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]
     5.00   -10.00   -22.61    30.20    32.70    17.47   -35.48    -1.12    -0.77     0.75     5.02   -10.05     0.00    -0.00
     5.00   -15.00   -27.88    30.43    35.41    17.47   -53.52    -1.12    -0.66     1.00     5.02   -15.07     0.00    -0.00
     5.00   -20.00   -32.43    30.62    38.10    17.47   -71.79    -1.12    -0.56     1.25     5.02   -20.09     0.00    -0.00
     5.00   -25.00   -36.39    30.79    40.76    17.47   -90.30    -1.12    -0.47     1.50     5.02   -25.11     0.00    -0.00
     5.00   -30.00   -39.86    30.93    43.40    17.47  -109.08    -1.12    -0.38     1.75     5.02   -30.13    -0.00    -0.00
     5.00   -35.00   -42.94    31.06    46.02    17.47  -128.15    -1.12    -0.30     2.00     5.02   -35.15    -0.00    -0.00
     5.00   -40.00   -45.67    31.18    48.63    17.47  -147.54    -1.12    -0.23     2.26     5.02   -40.16    -0.00    -0.00
    10.00     0.00   -20.00    29.05    24.07    34.78    -0.00    -1.25    -1.00     0.50    10.05    -0.00     0.00     0.00
    10.00     5.00   -11.26    28.77    21.30    34.78    17.47    -1.25    -1.12     0.25    10.05     5.02     0.00    -0.00
    10.00    10.00    -0.00    28.41    18.44    34.78    34.78    -1.25    -1.25     0.00    10.05    10.05    -0.00     0.00
    10.00    15.00    15.16    27.92    15.46    34.78    51.95    -1.25    -1.39    -0.25    10.05    15.07     0.00     0.00
    10.00    20.00    36.84    27.23    12.28    34.78    68.99    -1.25    -1.53    -0.50    10.05    20.10     0.00     0.00
    10.00    25.00    70.72    26.14     8.70    34.78    85.91    -1.25    -1.68    -0.75    10.05    25.13     0.00     0.00
    10.00    30.00   131.83    24.17     4.24    34.78   102.72    -1.25    -1.84    -0.99    10.05    30.15     0.00     0.00
    10.00    35.00   277.38    19.50    -2.93    34.78   119.43    -1.25    -2.00    -1.24    10.05    35.18     0.00     0.00
    10.00    40.00  1101.58    -6.99   -31.90    34.78   136.06    -1.25    -2.17    -1.49    10.05    40.21     0.00     0.00
    10.00     0.00   -20.00    29.05    24.07    34.78    -0.00    -1.25    -1.00     0.50    10.05    -0.00     0.00    -0.00
    10.00    -5.00   -27.00    29.28    26.79    34.78   -17.65    -1.25    -0.88     0.75    10.05    -5.02     0.00    -0.00
    10.00   -10.00   -32.75    29.46    29.46    34.78   -35.48    -1.25    -0.77     1.00    10.05   -10.05    -0.00    -0.00
    10.00   -15.00   -37.58    29.62    32.11    34.78   -53.52    -1.25    -0.66     1.25    10.05   -15.07     0.00    -0.00
    10.00   -20.00   -41.69    29.75    34.74    34.78   -71.79    -1.25    -0.56     1.50    10.05   -20.09     0.00    -0.00
    10.00   -25.00   -45.23    29.86    37.34    34.78   -90.30    -1.25    -0.47     1.75    10.05   -25.11     0.00    -0.00
    10.00   -30.00   -48.31    29.96    39.94    34.78  -109.08    -1.25    -0.38     2.00    10.05   -30.13     0.00    -0.00
    10.00   -35.00   -51.02    30.05    42.52    34.78  -128.15    -1.25    -0.30     2.25    10.05   -35.15     0.00    -0.00
    10.00   -40.00   -53.40    30.13    45.09    34.78  -147.54    -1.25    -0.23     2.50    10.05   -40.16     0.00    -0.00
    15.00     0.00   -33.72    28.33    20.86    51.95    -0.00    -1.39    -1.00     0.75    15.07    -0.00     0.00     0.00
    15.00     5.00   -25.80    28.16    18.19    51.95    17.47    -1.39    -1.12     0.50    15.07     5.02     0.00    -0.00
    15.00    10.00   -15.16    27.92    15.46    51.95    34.78    -1.39    -1.25     0.25    15.07    10.05    -0.00     0.00
    15.00    15.00    -0.00    27.59    12.64    51.95    51.95    -1.39    -1.39     0.00    15.07    15.07     0.00     0.00
    15.00    20.00    23.65    27.07     9.63    51.95    68.99    -1.39    -1.53    -0.25    15.07    20.10    -0.00     0.00
    15.00    25.00    66.35    26.13     6.20    51.95    85.91    -1.39    -1.68    -0.50    15.07    25.13     0.00     0.00
    15.00    30.00   168.83    23.87     1.45    51.95   102.72    -1.39    -1.84    -0.74    15.07    30.15     0.00     0.00
    15.00    35.00   778.50    10.46   -14.46    51.95   119.43    -1.39    -2.00    -0.99    15.07    35.18     0.00     0.00
    15.00    40.00  -642.92    41.73    14.33    51.95   136.06    -1.39    -2.17    -1.24    15.07    40.21     0.00     0.00
    15.00     0.00   -33.72    28.33    20.86    51.95    -0.00    -1.39    -1.00     0.75    15.07    -0.00     0.00     0.00
    15.00    -5.00   -39.90    28.47    23.48    51.95   -17.65    -1.39    -0.88     1.00    15.07    -5.02     0.00    -0.00
    15.00   -10.00   -44.86    28.58    26.09    51.95   -35.48    -1.39    -0.77     1.25    15.07   -10.05     0.00    -0.00
    15.00   -15.00   -48.96    28.67    28.67    51.95   -53.52    -1.39    -0.66     1.50    15.07   -15.07    -0.00    -0.00
    15.00   -20.00   -52.40    28.74    31.24    51.95   -71.79    -1.39    -0.56     1.75    15.07   -20.09     0.00    -0.00
    15.00   -25.00   -55.33    28.81    33.79    51.95   -90.30    -1.39    -0.47     2.00    15.07   -25.11     0.00    -0.00
    15.00   -30.00   -57.87    28.86    36.34    51.95  -109.08    -1.39    -0.38     2.25    15.07   -30.13     0.00    -0.00
    15.00   -35.00   -60.07    28.91    38.89    51.95  -128.15    -1.39    -0.30     2.50    15.07   -35.15     0.00    -0.00
    15.00   -40.00   -61.99    28.95    41.42    51.95  -147.54    -1.39    -0.23     2.75    15.07   -40.16     0.00    -0.00
    20.00     0.00   -51.44    27.40    17.43    68.99    -0.00    -1.53    -1.00     1.00    20.10    -0.00     0.00    -0.00
    20.00     5.00   -45.38    27.33    14.87    68.99    17.47    -1.53    -1.12     0.75    20.10     5.02    -0.00    -0.00
    20.00    10.00   -36.84    27.23    12.28    68.99    34.78    -1.53    -1.25     0.50    20.10    10.05    -0.00     0.00
    20.00    15.00   -23.65    27.07     9.63    68.99    51.95    -1.53    -1.39     0.25    20.10    15.07    -0.00     0.00
    20.00    20.00    -0.00    26.79     6.85    68.99    68.99    -1.53    -1.53     0.00    20.10    20.10     0.00     0.00
    20.00    25.00    56.69    26.11     3.69    68.99    85.91    -1.53    -1.68    -0.25    20.10    25.13     0.00     0.00
    20.00    30.00   403.77    21.97    -2.94    68.99   102.72    -1.53    -1.84    -0.50    20.10    30.15     0.00     0.00
    20.00    35.00  -374.38    31.25     3.84    68.99   119.43    -1.53    -2.00    -0.74    20.10    35.18    -0.00     0.00
    20.00    40.00  -187.91    29.03    -0.87    68.99   136.06    -1.53    -2.17    -0.99    20.10    40.21     0.00     0.00
    20.00     0.00   -51.44    27.40    17.43    68.99    -0.00    -1.53    -1.00     1.00    20.10    -0.00    -0.00     0.00
    20.00    -5.00   -56.01    27.45    19.98    68.99   -17.65    -1.53    -0.88     1.24    20.10    -5.02     0.00    -0.00
    20.00   -10.00   -59.60    27.50    22.52    68.99   -35.48    -1.53    -0.77     1.49    20.10   -10.05    -0.00    -0.00
    20.00   -15.00   -62.52    27.53    25.04    68.99   -53.52    -1.53    -0.66     1.74    20.10   -15.07    -0.00    -0.00
    20.00   -20.00   -64.95    27.56    27.56    68.99   -71.79    -1.53    -0.56     1.99    20.10   -20.09     0.00    -0.00
    20.00   -25.00   -67.01    27.59    30.08    68.99   -90.30    -1.53    -0.47     2.25    20.10   -25.11    -0.00    -0.00
    20.00   -30.00   -68.77    27.61    32.60    68.99  -109.08    -1.53    -0.38     2.50    20.10   -30.13     0.00    -0.00
    20.00   -35.00   -70.29    27.62    35.11    68.99  -128.15    -1.53    -0.30     2.75    20.10   -35.15     0.00    -0.00
    20.00   -40.00   -71.60    27.64    37.62    68.99  -147.54    -1.53    -0.23     3.00    20.10   -40.16     0.00    -0.00
    25.00     0.00   -75.30    26.15    13.69    85.91    -0.00    -1.68    -1.00     1.24    25.13    -0.00     0.00     0.00
    25.00     5.00   -73.40    26.14    11.19    85.91    17.47    -1.68    -1.12     0.99    25.13     5.02    -0.00    -0.00
    25.00    10.00   -70.72    26.14     8.70    85.91    34.78    -1.68    -1.25     0.75    25.13    10.05    -0.00     0.00
    25.00    15.00   -66.35    26.13     6.20    85.91    51.95    -1.68    -1.39     0.50    25.13    15.07     0.00     0.00
    25.00    20.00   -56.69    26.11     3.69    85.91    68.99    -1.68    -1.53     0.25    25.13    20.10     0.00     0.00
    25.00    25.00    -0.00    26.00     1.09    85.91    85.91    -1.68    -1.68     0.00    25.13    25.13     0.00     0.00
    25.00    30.00  -122.98    26.24    -1.17    85.91   102.72    -1.68    -1.84    -0.25    25.13    30.15    -0.00     0.00
    25.00    35.00   -93.21    26.18    -3.72    85.91   119.43    -1.68    -2.00    -0.50    25.13    35.18    -0.00     0.00
    25.00    40.00   -85.44    26.17    -6.22    85.91   136.06    -1.68    -2.17    -0.74    25.13    40.21     0.00     0.00
    25.00     0.00   -75.30    26.15    13.69    85.91    -0.00    -1.68    -1.00     1.24    25.13    -0.00    -0.00     0.00
    25.00    -5.00   -76.79    26.15    16.18    85.91   -17.65    -1.68    -0.88     1.49    25.13    -5.02    -0.00    -0.00
    25.00   -10.00   -78.00    26.15    18.68    85.91   -35.48    -1.68    -0.77     1.74    25.13   -10.05    -0.00    -0.00
    25.00   -15.00   -79.02    26.15    21.17    85.91   -53.52    -1.68    -0.66     1.99    25.13   -15.07     0.00    -0.00
    25.00   -20.00   -79.91    26.15    23.67    85.91   -71.79    -1.68    -0.56     2.24    25.13   -20.09     0.00    -0.00
    25.00   -25.00   -80.68    26.16    26.16    85.91   -90.30    -1.68    -0.47     2.49    25.13   -25.11     0.00    -0.00
    25.00   -30.00   -81.35    26.16    28.66    85.91  -109.08    -1.68    -0.38     2.75    25.13   -30.13     0.00    -0.00
    25.00   -35.00   -81.94    26.16    31.15    85.91  -128.15    -1.68    -0.30     3.00    25.13   -35.15    -0.00    -0.00
    25.00   -40.00   -82.45    26.16    33.65    85.91  -147.54    -1.68    -0.23     3.25    25.13   -40.16     0.00    -0.00
    30.00     0.00  -109.38    24.36     9.41   102.72    -0.00    -1.84    -1.00     1.49    30.15    -0.00     0.00    -0.00
    30.00     5.00  -117.11    24.29     6.85   102.72    17.47    -1.84    -1.12     1.24    30.15     5.02     0.00    -0.00
    30.00    10.00  -131.83    24.17     4.24   102.72    34.78    -1.84    -1.25     0.99    30.15    10.05     0.00     0.00
    30.00    15.00  -168.83    23.87     1.45   102.72    51.95    -1.84    -1.39     0.74    30.15    15.07     0.00     0.00
    30.00    20.00  -403.77    21.97    -2.94   102.72    68.99    -1.84    -1.53     0.50    30.15    20.10    -0.00     0.00
    30.00    25.00   122.98    26.24    -1.17   102.72    85.91    -1.84    -1.68     0.25    30.15    25.13     0.00     0.00
    30.00    30.00     0.00    25.24    -4.66   102.72   102.72    -1.84    -1.84     0.00    30.15    30.15     0.00     0.00
    30.00    35.00   -28.39    25.01    -7.38   102.72   119.43    -1.84    -2.00    -0.25    30.15    35.18     0.00     0.00
    30.00    40.00   -40.58    24.91    -9.97   102.72   136.06    -1.84    -2.17    -0.50    30.15    40.21     0.00     0.00
    30.00     0.00  -109.38    24.36     9.41   102.72    -0.00    -1.84    -1.00     1.49    30.15    -0.00    -0.00     0.00
    30.00    -5.00  -104.73    24.39    11.94   102.72   -17.65    -1.84    -0.88     1.74    30.15    -5.02    -0.00    -0.00
    30.00   -10.00  -101.69    24.42    14.45   102.72   -35.48    -1.84    -0.77     1.99    30.15   -10.05     0.00    -0.00
    30.00   -15.00   -99.58    24.43    16.96   102.72   -53.52    -1.84    -0.66     2.24    30.15   -15.07     0.00    -0.00
    30.00   -20.00   -98.07    24.45    19.47   102.72   -71.79    -1.84    -0.56     2.49    30.15   -20.09    -0.00    -0.00
    30.00   -25.00   -96.94    24.46    21.97   102.72   -90.30    -1.84    -0.47     2.74    30.15   -25.11     0.00    -0.00
    30.00   -30.00   -96.07    24.46    24.47   102.72  -109.08    -1.84    -0.38     2.99    30.15   -30.13     0.00    -0.00
    30.00   -35.00   -95.38    24.47    26.97   102.72  -128.15    -1.84    -0.30     3.25    30.15   -35.15    -0.00    -0.00
    30.00   -40.00   -94.80    24.47    29.47   102.72  -147.54    -1.84    -0.23     3.50    30.15   -40.16     0.00    -0.00
    35.00     0.00  -162.37    21.57     4.13   119.43    -0.00    -2.00    -1.00     1.74    35.18    -0.00     0.00    -0.00
    35.00     5.00  -195.60    20.97     1.04   119.43    17.47    -2.00    -1.12     1.49    35.18     5.02    -0.00    -0.00
    35.00    10.00  -277.38    19.50    -2.93   119.43    34.78    -2.00    -1.25     1.24    35.18    10.05    -0.00     0.00
    35.00    15.00  -778.50    10.46   -14.46   119.43    51.95    -2.00    -1.39     0.99    35.18    15.07     0.00     0.00
    35.00    20.00   374.38    31.25     3.84   119.43    68.99    -2.00    -1.53     0.74    35.18    20.10     0.00     0.00
    35.00    25.00    93.21    26.18    -3.72   119.43    85.91    -2.00    -1.68     0.50    35.18    25.13     0.00     0.00
    35.00    30.00    28.39    25.01    -7.38   119.43   102.72    -2.00    -1.84     0.25    35.18    30.15     0.00     0.00
    35.00    35.00     0.00    24.50   -10.38   119.43   119.43    -2.00    -2.00     0.00    35.18    35.18    -0.00     0.00
    35.00    40.00   -15.66    24.22   -13.16   119.43   136.06    -2.00    -2.17    -0.25    35.18    40.21     0.00     0.00
    35.00     0.00  -162.37    21.57     4.13   119.43    -0.00    -2.00    -1.00     1.74    35.18    -0.00    -0.00     0.00
    35.00    -5.00  -144.52    21.89     6.94   119.43   -17.65    -2.00    -0.88     1.99    35.18    -5.02     0.00    -0.00
    35.00   -10.00  -133.47    22.09     9.64   119.43   -35.48    -2.00    -0.77     2.24    35.18   -10.05    -0.00    -0.00
    35.00   -15.00  -126.00    22.23    12.26   119.43   -53.52    -2.00    -0.66     2.49    35.18   -15.07     0.00    -0.00
    35.00   -20.00  -120.65    22.32    14.85   119.43   -71.79    -2.00    -0.56     2.74    35.18   -20.09     0.00    -0.00
    35.00   -25.00  -116.65    22.40    17.42   119.43   -90.30    -2.00    -0.47     2.99    35.18   -25.11     0.00    -0.00
    35.00   -30.00  -113.54    22.45    19.97   119.43  -109.08    -2.00    -0.38     3.24    35.18   -30.13    -0.00    -0.00
    35.00   -35.00  -111.06    22.50    22.51   119.43  -128.15    -2.00    -0.30     3.49    35.18   -35.15     0.00    -0.00
    35.00   -40.00  -109.02    22.53    25.04   119.43  -147.54    -2.00    -0.23     3.75    35.18   -40.16     0.00    -0.00
    40.00     0.00  -256.88    16.60    -3.33   136.06    -0.00    -2.17    -1.00     1.99    40.21    -0.00     0.00    -0.00
    40.00     5.00  -380.20    13.16    -9.26   136.06    17.47    -2.17    -1.12     1.74    40.21     5.02    -0.00    -0.00
    40.00    10.00 -1101.58    -6.99   -31.90   136.06    34.78    -2.17    -1.25     1.49    40.21    10.05    -0.00     0.00
    40.00    15.00   642.92    41.73    14.33   136.06    51.95    -2.17    -1.39     1.24    40.21    15.07     0.00     0.00
    40.00    20.00   187.91    29.03    -0.87   136.06    68.99    -2.17    -1.53     0.99    40.21    20.10     0.00     0.00
    40.00    25.00    85.44    26.17    -6.22   136.06    85.91    -2.17    -1.68     0.74    40.21    25.13    -0.00     0.00
    40.00    30.00    40.58    24.91    -9.97   136.06   102.72    -2.17    -1.84     0.50    40.21    30.15    -0.00     0.00
    40.00    35.00    15.66    24.22   -13.16   136.06   119.43    -2.17    -2.00     0.25    40.21    35.18    -0.00     0.00
    40.00    40.00     0.00    23.78   -16.08   136.06   136.06    -2.17    -2.17     0.00    40.21    40.21     0.00     0.00
    40.00     0.00  -256.88    16.60    -3.33   136.06    -0.00    -2.17    -1.00     1.99    40.21    -0.00     0.00    -0.00
    40.00    -5.00  -206.11    18.02     0.58   136.06   -17.65    -2.17    -0.88     2.24    40.21    -5.02    -0.00    -0.00
    40.00   -10.00  -178.56    18.79     3.85   136.06   -35.48    -2.17    -0.77     2.49    40.21   -10.05     0.00    -0.00
    40.00   -15.00  -161.34    19.27     6.82   136.06   -53.52    -2.17    -0.66     2.74    40.21   -15.07    -0.00    -0.00
    40.00   -20.00  -149.60    19.60     9.64   136.06   -71.79    -2.17    -0.56     2.99    40.21   -20.09     0.00    -0.00
    40.00   -25.00  -141.10    19.84    12.37   136.06   -90.30    -2.17    -0.47     3.24    40.21   -25.11    -0.00    -0.00
    40.00   -30.00  -134.68    20.02    15.04   136.06  -109.08    -2.17    -0.38     3.49    40.21   -30.13     0.00    -0.00
    40.00   -35.00  -129.64    20.16    17.68   136.06  -128.15    -2.17    -0.30     3.74    40.21   -35.15     0.00    -0.00
    40.00   -40.00  -125.59    20.27    20.29   136.06  -147.54    -2.17    -0.23     4.00    40.21   -40.16     0.00    -0.00
     0.00     0.00    -0.00    30.10    30.10     0.00     0.00    -1.00    -1.00    -0.00     0.00     0.00    -0.00    -0.00
     0.00     5.00     9.01    29.63    27.14    -0.00    17.47    -1.00    -1.12    -0.25    -0.00     5.02     0.00    -0.00
     0.00    10.00    20.00    29.05    24.07    -0.00    34.78    -1.00    -1.25    -0.50    -0.00    10.05    -0.00     0.00
     0.00    15.00    33.72    28.33    20.86    -0.00    51.95    -1.00    -1.39    -0.75    -0.00    15.07    -0.00     0.00
     0.00    20.00    51.44    27.40    17.43    -0.00    68.99    -1.00    -1.53    -1.00    -0.00    20.10     0.00     0.00
     0.00    25.00    75.30    26.15    13.69    -0.00    85.91    -1.00    -1.68    -1.24    -0.00    25.13     0.00     0.00
     0.00    30.00   109.38    24.36     9.41    -0.00   102.72    -1.00    -1.84    -1.49    -0.00    30.15     0.00     0.00
     0.00    35.00   162.37    21.57     4.13    -0.00   119.43    -1.00    -2.00    -1.74    -0.00    35.18     0.00     0.00
     0.00    40.00   256.88    16.60    -3.33    -0.00   136.06    -1.00    -2.17    -1.99    -0.00    40.21     0.00     0.00
     0.00     0.00    -0.00    30.10    30.10     0.00     0.00    -1.00    -1.00    -0.00     0.00     0.00    -0.00    -0.00
     0.00    -5.00    -7.55    30.50    32.99    -0.00   -17.65    -1.00    -0.88     0.25    -0.00    -5.02     0.00    -0.00
     0.00   -10.00   -13.97    30.84    35.82    -0.00   -35.48    -1.00    -0.77     0.50    -0.00   -10.05     0.00    -0.00
     0.00   -15.00   -19.50    31.13    38.60    -0.00   -53.52    -1.00    -0.66     0.75    -0.00   -15.07     0.00    -0.00
     0.00   -20.00   -24.33    31.38    41.35    -0.00   -71.79    -1.00    -0.56     1.00    -0.00   -20.09    -0.00    -0.00
     0.00   -25.00   -28.57    31.60    44.07    -0.00   -90.30    -1.00    -0.47     1.25    -0.00   -25.11    -0.00    -0.00
     0.00   -30.00   -32.33    31.80    46.76    -0.00  -109.08    -1.00    -0.38     1.50    -0.00   -30.13     0.00    -0.00
     0.00   -35.00   -35.68    31.98    49.43    -0.00  -128.15    -1.00    -0.30     1.75    -0.00   -35.15    -0.00    -0.00
     0.00   -40.00   -38.67    32.14    52.08    -0.00  -147.54    -1.00    -0.23     2.01    -0.00   -40.16     0.00    -0.00
    -5.00     0.00     7.55    30.50    32.99   -17.65    -0.00    -0.88    -1.00    -0.25    -5.02    -0.00    -0.00     0.00
    -5.00     5.00    16.41    29.94    29.94   -17.65    17.47    -0.88    -1.12    -0.50    -5.02     5.02    -0.00    -0.00
    -5.00    10.00    27.00    29.28    26.79   -17.65    34.78    -0.88    -1.25    -0.75    -5.02    10.05     0.00     0.00
    -5.00    15.00    39.90    28.47    23.48   -17.65    51.95    -0.88    -1.39    -1.00    -5.02    15.07     0.00     0.00
    -5.00    20.00    56.01    27.45    19.98   -17.65    68.99    -0.88    -1.53    -1.24    -5.02    20.10     0.00     0.00
    -5.00    25.00    76.79    26.15    16.18   -17.65    85.91    -0.88    -1.68    -1.49    -5.02    25.13     0.00     0.00
    -5.00    30.00   104.73    24.39    11.94   -17.65   102.72    -0.88    -1.84    -1.74    -5.02    30.15     0.00     0.00
    -5.00    35.00   144.52    21.89     6.94   -17.65   119.43    -0.88    -2.00    -1.99    -5.02    35.18     0.00     0.00
    -5.00    40.00   206.11    18.02     0.58   -17.65   136.06    -0.88    -2.17    -2.24    -5.02    40.21     0.00     0.00
    -5.00     0.00     7.55    30.50    32.99   -17.65    -0.00    -0.88    -1.00    -0.25    -5.02    -0.00     0.00     0.00
    -5.00    -5.00    -0.00    30.97    35.96   -17.65   -17.65    -0.88    -0.88    -0.00    -5.02    -5.02     0.00    -0.00
    -5.00   -10.00    -6.51    31.38    38.86   -17.65   -35.48    -0.88    -0.77     0.25    -5.02   -10.05     0.00    -0.00
    -5.00   -15.00   -12.19    31.74    41.71   -17.65   -53.52    -0.88    -0.66     0.50    -5.02   -15.07     0.00    -0.00
    -5.00   -20.00   -17.18    32.05    44.52   -17.65   -71.79    -0.88    -0.56     0.75    -5.02   -20.09     0.00    -0.00
    -5.00   -25.00   -21.62    32.33    47.29   -17.65   -90.30    -0.88    -0.47     1.00    -5.02   -25.11     0.00    -0.00
    -5.00   -30.00   -25.57    32.58    50.03   -17.65  -109.08    -0.88    -0.38     1.25    -5.02   -30.13    -0.00    -0.00
    -5.00   -35.00   -29.12    32.80    52.75   -17.65  -128.15    -0.88    -0.30     1.50    -5.02   -35.15    -0.00    -0.00
    -5.00   -40.00   -32.31    33.00    55.44   -17.65  -147.54    -0.88    -0.23     1.76    -5.02   -40.16     0.00    -0.00
   -10.00     0.00    13.97    30.84    35.82   -35.48    -0.00    -0.77    -1.00    -0.50   -10.05    -0.00    -0.00     0.00
   -10.00     5.00    22.61    30.20    32.70   -35.48    17.47    -0.77    -1.12    -0.75   -10.05     5.02     0.00    -0.00
   -10.00    10.00    32.75    29.46    29.46   -35.48    34.78    -0.77    -1.25    -1.00   -10.05    10.05     0.00     0.00
   -10.00    15.00    44.86    28.58    26.09   -35.48    51.95    -0.77    -1.39    -1.25   -10.05    15.07     0.00     0.00
   -10.00    20.00    59.60    27.50    22.52   -35.48    68.99    -0.77    -1.53    -1.49   -10.05    20.10     0.00     0.00
   -10.00    25.00    78.00    26.15    18.68   -35.48    85.91    -0.77    -1.68    -1.74   -10.05    25.13     0.00     0.00
   -10.00    30.00   101.69    24.42    14.45   -35.48   102.72    -0.77    -1.84    -1.99   -10.05    30.15     0.00     0.00
   -10.00    35.00   133.47    22.09     9.64   -35.48   119.43    -0.77    -2.00    -2.24   -10.05    35.18     0.00     0.00
   -10.00    40.00   178.56    18.79     3.85   -35.48   136.06    -0.77    -2.17    -2.49   -10.05    40.21     0.00     0.00
   -10.00     0.00    13.97    30.84    35.82   -35.48    -0.00    -0.77    -1.00    -0.50   -10.05    -0.00     0.00     0.00
   -10.00    -5.00     6.51    31.38    38.86   -35.48   -17.65    -0.77    -0.88    -0.25   -10.05    -5.02     0.00    -0.00
   -10.00   -10.00    -0.00    31.86    41.83   -35.48   -35.48    -0.77    -0.77    -0.00   -10.05   -10.05     0.00    -0.00
   -10.00   -15.00    -5.73    32.28    44.74   -35.48   -53.52    -0.77    -0.66     0.25   -10.05   -15.07     0.00    -0.00
   -10.00   -20.00   -10.83    32.65    47.61   -35.48   -71.79    -0.77    -0.56     0.50   -10.05   -20.09     0.00    -0.00
   -10.00   -25.00   -15.38    32.98    50.43   -35.48   -90.30    -0.77    -0.47     0.75   -10.05   -25.11     0.00    -0.00
