
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           Demo data                                           

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]
    35.00   100.00     0.00     4.68     4.84    -0.65     0.68    35.08    35.18     2.00    -2.00    -0.15    -0.14    -1.92     1.99    97.63     0.00
    35.00  -100.00     0.00     5.01     4.84    -0.70     0.68    35.28    35.18     2.00    -2.00    -0.14    -0.14    -2.06     1.99   -97.68     0.00
    35.00     0.00   100.00     4.84     5.01    -0.68     0.70    35.18    35.28     2.00    -2.00    -0.14    -0.14    -1.99     2.06    -0.00   -97.68
    35.00     0.00  -100.00     4.84     4.68    -0.68     0.65    35.18    35.08     2.00    -2.00    -0.14    -0.15    -1.99     1.92     0.00    97.63
    40.00   100.00     0.00     5.24     5.40    -1.04     1.07    40.11    40.21     2.17    -2.17    -0.17    -0.17    -2.19     2.27    97.20     0.00
    40.00  -100.00     0.00     5.56     5.40    -1.10     1.07    40.31    40.21     2.17    -2.17    -0.17    -0.17    -2.34     2.27   -97.27     0.00
    40.00     0.00   100.00     5.40     5.56    -1.07     1.10    40.21    40.31     2.17    -2.17    -0.17    -0.17    -2.27     2.34    -0.00   -97.27
    40.00     0.00  -100.00     5.40     5.24    -1.07     1.04    40.21    40.11     2.17    -2.17    -0.17    -0.17    -2.27     2.19    -0.00    97.20
    -5.00   100.00     0.00    -1.00    -0.83    -0.20     0.21    -5.13    -5.02     0.88    -0.88    -0.00     0.01     0.37    -0.29   103.66    -0.00
    -5.00  -100.00     0.00    -0.66    -0.83    -0.22     0.21    -4.92    -5.02     0.89    -0.88     0.02     0.01     0.22    -0.29  -103.48     0.00
    -5.00     0.00   100.00    -0.83    -0.66    -0.21     0.22    -5.02    -4.92     0.88    -0.89     0.01     0.02     0.29    -0.22    -0.00  -103.48
    -5.00     0.00  -100.00    -0.83    -1.00    -0.21     0.20    -5.02    -5.13     0.88    -0.88     0.01    -0.00     0.29    -0.37    -0.00   103.66
   -10.00   100.00     0.00    -1.86    -1.69    -0.48     0.49   -10.16   -10.05     0.76    -0.77     0.01     0.02     0.67    -0.59   104.80    -0.00
   -10.00  -100.00     0.00    -1.52    -1.69    -0.50     0.49    -9.94   -10.05     0.78    -0.77     0.03     0.02     0.51    -0.59  -104.58    -0.00
   -10.00     0.00   100.00    -1.69    -1.52    -0.49     0.50   -10.05    -9.94     0.77    -0.78     0.02     0.03     0.59    -0.51    -0.00  -104.58
   -10.00     0.00  -100.00    -1.69    -1.86    -0.49     0.48   -10.05   -10.16     0.77    -0.76     0.02     0.01     0.59    -0.67    -0.00   104.80
   -15.00   100.00     0.00    -2.76    -2.59    -0.85     0.85   -15.18   -15.07     0.66    -0.66     0.01     0.03     0.97    -0.89   106.05    -0.00
   -15.00  -100.00     0.00    -2.42    -2.59    -0.86     0.85   -14.96   -15.07     0.67    -0.66     0.04     0.03     0.81    -0.89  -105.80    -0.00
   -15.00     0.00   100.00    -2.59    -2.42    -0.85     0.86   -15.07   -14.96     0.66    -0.67     0.03     0.04     0.89    -0.81    -0.00  -105.80
   -15.00     0.00  -100.00    -2.59    -2.76    -0.85     0.85   -15.07   -15.18     0.66    -0.66     0.03     0.01     0.89    -0.97    -0.00   106.05
   -20.00   100.00     0.00    -3.70    -3.53    -1.29     1.29   -20.20   -20.09     0.55    -0.56     0.01     0.03     1.27    -1.20   107.42    -0.00
   -20.00  -100.00     0.00    -3.35    -3.53    -1.30     1.29   -19.98   -20.09     0.57    -0.56     0.05     0.03     1.12    -1.20  -107.12     0.00
   -20.00     0.00   100.00    -3.53    -3.35    -1.29     1.30   -20.09   -19.98     0.56    -0.57     0.03     0.05     1.20    -1.12     0.00  -107.12
   -20.00     0.00  -100.00    -3.53    -3.70    -1.29     1.29   -20.09   -20.20     0.56    -0.55     0.03     0.01     1.20    -1.27     0.00   107.42
   -25.00   100.00     0.00    -4.68    -4.50    -1.81     1.81   -25.22   -25.11     0.46    -0.47     0.01     0.03     1.58    -1.51   108.91    -0.00
   -25.00  -100.00     0.00    -4.33    -4.50    -1.81     1.81   -25.00   -25.11     0.48    -0.47     0.05     0.03     1.43    -1.51  -108.57     0.00
   -25.00     0.00   100.00    -4.50    -4.33    -1.81     1.81   -25.11   -25.00     0.47    -0.48     0.03     0.05     1.51    -1.43     0.00  -108.57
   -25.00     0.00  -100.00    -4.50    -4.68    -1.81     1.81   -25.11   -25.22     0.47    -0.46     0.03     0.01     1.51    -1.58    -0.00   108.91
   -30.00   100.00     0.00    -5.69    -5.52    -2.41     2.41   -30.25   -30.13     0.37    -0.38     0.01     0.03     1.90    -1.82   110.53    -0.00
   -30.00  -100.00     0.00    -5.34    -5.52    -2.41     2.41   -30.01   -30.13     0.40    -0.38     0.05     0.03     1.74    -1.82  -110.15    -0.00
   -30.00     0.00   100.00    -5.52    -5.34    -2.41     2.41   -30.13   -30.01     0.38    -0.40     0.03     0.05     1.82    -1.74     0.00  -110.15
   -30.00     0.00  -100.00    -5.52    -5.69    -2.41     2.41   -30.13   -30.25     0.38    -0.37     0.03     0.01     1.82    -1.90     0.00   110.53
   -35.00   100.00     0.00    -6.75    -6.57    -3.10     3.09   -35.27   -35.15     0.29    -0.30    -0.00     0.02     2.22    -2.14   112.29    -0.00
   -35.00  -100.00     0.00    -6.39    -6.57    -3.09     3.09   -35.03   -35.15     0.31    -0.30     0.04     0.02     2.05    -2.14  -111.87     0.00
   -35.00     0.00   100.00    -6.57    -6.39    -3.09     3.09   -35.15   -35.03     0.30    -0.31     0.02     0.04     2.14    -2.05     0.00  -111.87
   -35.00     0.00  -100.00    -6.57    -6.75    -3.09     3.10   -35.15   -35.27     0.30    -0.29     0.02    -0.00     2.14    -2.22    -0.00   112.29
   -40.00   100.00     0.00    -7.84    -7.66    -3.86     3.86   -40.28   -40.16     0.21    -0.23    -0.01     0.01     2.54    -2.46   114.22    -0.00
   -40.00  -100.00     0.00    -7.48    -7.66    -3.85     3.86   -40.04   -40.16     0.24    -0.23     0.03     0.01     2.38    -2.46  -113.74     0.00
   -40.00     0.00   100.00    -7.66    -7.48    -3.86     3.85   -40.16   -40.04     0.23    -0.24     0.01     0.03     2.46    -2.38    -0.00  -113.74
   -40.00     0.00  -100.00    -7.66    -7.84    -3.86     3.86   -40.16   -40.28     0.23    -0.21     0.01    -0.01     2.46    -2.54     0.00   114.22
