
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           Demo data                                           

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]
    -5.00   100.00     0.00    -0.82    -0.83    -0.22     0.21    -4.97    -5.02     0.95    -0.88     0.06     0.01     0.29    -0.29   -40.08    -0.00
    -5.00  -100.00     0.00    -0.84    -0.83    -0.20     0.21    -5.08    -5.02     0.81    -0.88    -0.04     0.01     0.30    -0.29    40.46     0.00
    -5.00     0.00   100.00    -0.83    -0.84    -0.21     0.20    -5.02    -5.08     0.88    -0.81     0.01    -0.04     0.29    -0.30     0.00    40.46
    -5.00     0.00  -100.00    -0.83    -0.82    -0.21     0.22    -5.02    -4.97     0.88    -0.95     0.01     0.06     0.29    -0.29    -0.00   -40.08
   -10.00   100.00     0.00    -1.68    -1.69    -0.50     0.49    -9.99   -10.05     0.84    -0.77     0.07     0.02     0.58    -0.59   -37.95    -0.00
   -10.00  -100.00     0.00    -1.70    -1.69    -0.48     0.49   -10.10   -10.05     0.70    -0.77    -0.03     0.02     0.60    -0.59    38.34    -0.00
   -10.00     0.00   100.00    -1.69    -1.70    -0.49     0.48   -10.05   -10.10     0.77    -0.70     0.02    -0.03     0.59    -0.60     0.00    38.34
   -10.00     0.00  -100.00    -1.69    -1.68    -0.49     0.50   -10.05    -9.99     0.77    -0.84     0.02     0.07     0.59    -0.58     0.00   -37.95
   -15.00   100.00     0.00    -2.58    -2.59    -0.86     0.85   -15.02   -15.07     0.73    -0.66     0.08     0.03     0.88    -0.89   -35.81    -0.00
   -15.00  -100.00     0.00    -2.60    -2.59    -0.84     0.85   -15.12   -15.07     0.59    -0.66    -0.02     0.03     0.90    -0.89    36.21     0.00
   -15.00     0.00   100.00    -2.59    -2.60    -0.85     0.84   -15.07   -15.12     0.66    -0.59     0.03    -0.02     0.89    -0.90     0.00    36.21
   -15.00     0.00  -100.00    -2.59    -2.58    -0.85     0.86   -15.07   -15.02     0.66    -0.73     0.03     0.08     0.89    -0.88     0.00   -35.81
   -20.00   100.00     0.00    -3.52    -3.53    -1.30     1.29   -20.04   -20.09     0.64    -0.56     0.08     0.03     1.19    -1.20   -33.66    -0.00
   -20.00  -100.00     0.00    -3.54    -3.53    -1.28     1.29   -20.14   -20.09     0.49    -0.56    -0.02     0.03     1.21    -1.20    34.08     0.00
   -20.00     0.00   100.00    -3.53    -3.54    -1.29     1.28   -20.09   -20.14     0.56    -0.49     0.03    -0.02     1.20    -1.21     0.00    34.08
   -20.00     0.00  -100.00    -3.53    -3.52    -1.29     1.30   -20.09   -20.04     0.56    -0.64     0.03     0.08     1.20    -1.19    -0.00   -33.66
   -25.00   100.00     0.00    -4.49    -4.50    -1.82     1.81   -25.06   -25.11     0.54    -0.47     0.08     0.03     1.49    -1.51   -31.49    -0.00
   -25.00  -100.00     0.00    -4.51    -4.50    -1.80     1.81   -25.16   -25.11     0.40    -0.47    -0.02     0.03     1.52    -1.51    31.92     0.00
   -25.00     0.00   100.00    -4.50    -4.51    -1.81     1.80   -25.11   -25.16     0.47    -0.40     0.03    -0.02     1.51    -1.52     0.00    31.92
   -25.00     0.00  -100.00    -4.50    -4.49    -1.81     1.82   -25.11   -25.06     0.47    -0.54     0.03     0.08     1.51    -1.49     0.00   -31.49
   -30.00   100.00     0.00    -5.51    -5.52    -2.43     2.41   -30.08   -30.13     0.46    -0.38     0.08     0.03     1.81    -1.82   -29.29    -0.00
   -30.00  -100.00     0.00    -5.53    -5.52    -2.40     2.41   -30.18   -30.13     0.31    -0.38    -0.02     0.03     1.83    -1.82    29.75     0.00
   -30.00     0.00   100.00    -5.52    -5.53    -2.41     2.40   -30.13   -30.18     0.38    -0.31     0.03    -0.02     1.82    -1.83     0.00    29.75
   -30.00     0.00  -100.00    -5.52    -5.51    -2.41     2.43   -30.13   -30.08     0.38    -0.46     0.03     0.08     1.82    -1.81     0.00   -29.29
   -35.00   100.00     0.00    -6.56    -6.57    -3.11     3.09   -35.10   -35.15     0.38    -0.30     0.07     0.02     2.12    -2.14   -27.07    -0.00
   -35.00  -100.00     0.00    -6.58    -6.57    -3.08     3.09   -35.19   -35.15     0.23    -0.30    -0.03     0.02     2.15    -2.14    27.55     0.00
   -35.00     0.00   100.00    -6.57    -6.58    -3.09     3.08   -35.15   -35.19     0.30    -0.23     0.02    -0.03     2.14    -2.15     0.00    27.55
   -35.00     0.00  -100.00    -6.57    -6.56    -3.09     3.11   -35.15   -35.10     0.30    -0.38     0.02     0.07     2.14    -2.12     0.00   -27.07
   -40.00   100.00     0.00    -7.65    -7.66    -3.87     3.86   -40.12   -40.16     0.30    -0.23     0.06     0.01     2.45    -2.46   -24.82    -0.00
   -40.00  -100.00     0.00    -7.67    -7.66    -3.84     3.86   -40.21   -40.16     0.15    -0.23    -0.04     0.01     2.47    -2.46    25.32    -0.00
   -40.00     0.00   100.00    -7.66    -7.67    -3.86     3.84   -40.16   -40.21     0.23    -0.15     0.01    -0.04     2.46    -2.47    -0.00    25.32
   -40.00     0.00  -100.00    -7.66    -7.65    -3.86     3.87   -40.16   -40.12     0.23    -0.30     0.01     0.06     2.46    -2.45     0.00   -24.82
