
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           Demo data                                           

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]
    40.00     0.00  -100.00     5.40     5.39    -1.07     1.07    40.21    40.21     2.17    -2.12    -0.17    -0.26    -2.27     2.27    -0.00   -12.40
    -5.00   100.00     0.00    -0.81    -0.83    -0.21     0.21    -5.02    -5.02     0.93    -0.88     0.10     0.01     0.28    -0.29     3.44    -0.00
    -5.00  -100.00     0.00    -0.84    -0.83    -0.20     0.21    -5.03    -5.02     0.83    -0.88    -0.08     0.01     0.31    -0.29    -3.46     0.00
    -5.00     0.00   100.00    -0.83    -0.81    -0.21     0.21    -5.02    -5.02     0.88    -0.93     0.01     0.10     0.29    -0.28    -0.00     3.44
    -5.00     0.00  -100.00    -0.83    -0.84    -0.21     0.20    -5.02    -5.03     0.88    -0.83     0.01    -0.08     0.29    -0.31    -0.00    -3.46
   -10.00   100.00     0.00    -1.67    -1.69    -0.50     0.49   -10.04   -10.05     0.82    -0.77     0.11     0.02     0.58    -0.59     2.30    -0.00
   -10.00  -100.00     0.00    -1.71    -1.69    -0.48     0.49   -10.06   -10.05     0.72    -0.77    -0.07     0.02     0.61    -0.59    -2.32    -0.00
   -10.00     0.00   100.00    -1.69    -1.67    -0.49     0.50   -10.05   -10.04     0.77    -0.82     0.02     0.11     0.59    -0.58    -0.00     2.30
   -10.00     0.00  -100.00    -1.69    -1.71    -0.49     0.48   -10.05   -10.06     0.77    -0.72     0.02    -0.07     0.59    -0.61     0.00    -2.32
   -15.00   100.00     0.00    -2.57    -2.59    -0.86     0.85   -15.06   -15.07     0.72    -0.66     0.12     0.03     0.88    -0.89     1.12    -0.00
   -15.00  -100.00     0.00    -2.61    -2.59    -0.84     0.85   -15.08   -15.07     0.61    -0.66    -0.06     0.03     0.91    -0.89    -1.14    -0.00
   -15.00     0.00   100.00    -2.59    -2.57    -0.85     0.86   -15.07   -15.06     0.66    -0.72     0.03     0.12     0.89    -0.88    -0.00     1.12
   -15.00     0.00  -100.00    -2.59    -2.61    -0.85     0.84   -15.07   -15.08     0.66    -0.61     0.03    -0.06     0.89    -0.91     0.00    -1.14
   -20.00   100.00     0.00    -3.51    -3.53    -1.30     1.29   -20.08   -20.09     0.62    -0.56     0.12     0.03     1.18    -1.20    -0.11    -0.00
   -20.00  -100.00     0.00    -3.55    -3.53    -1.28     1.29   -20.10   -20.09     0.51    -0.56    -0.06     0.03     1.21    -1.20     0.09     0.00
   -20.00     0.00   100.00    -3.53    -3.51    -1.29     1.30   -20.09   -20.08     0.56    -0.62     0.03     0.12     1.20    -1.18    -0.00    -0.11
   -20.00     0.00  -100.00    -3.53    -3.55    -1.29     1.28   -20.09   -20.10     0.56    -0.51     0.03    -0.06     1.20    -1.21     0.00     0.09
   -25.00   100.00     0.00    -4.48    -4.50    -1.82     1.81   -25.10   -25.11     0.53    -0.47     0.12     0.03     1.49    -1.51    -1.39    -0.00
   -25.00  -100.00     0.00    -4.53    -4.50    -1.80     1.81   -25.12   -25.11     0.42    -0.47    -0.06     0.03     1.52    -1.51     1.37     0.00
   -25.00     0.00   100.00    -4.50    -4.48    -1.81     1.82   -25.11   -25.10     0.47    -0.53     0.03     0.12     1.51    -1.49    -0.00    -1.39
   -25.00     0.00  -100.00    -4.50    -4.53    -1.81     1.80   -25.11   -25.12     0.47    -0.42     0.03    -0.06     1.51    -1.52     0.00     1.37
   -30.00   100.00     0.00    -5.49    -5.52    -2.42     2.41   -30.11   -30.13     0.44    -0.38     0.12     0.03     1.80    -1.82    -2.73    -0.00
   -30.00  -100.00     0.00    -5.54    -5.52    -2.40     2.41   -30.14   -30.13     0.33    -0.38    -0.06     0.03     1.84    -1.82     2.70     0.00
   -30.00     0.00   100.00    -5.52    -5.49    -2.41     2.42   -30.13   -30.11     0.38    -0.44     0.03     0.12     1.82    -1.80    -0.00    -2.73
   -30.00     0.00  -100.00    -5.52    -5.54    -2.41     2.40   -30.13   -30.14     0.38    -0.33     0.03    -0.06     1.82    -1.84     0.00     2.70
   -35.00   100.00     0.00    -6.54    -6.57    -3.10     3.09   -35.13   -35.15     0.36    -0.30     0.11     0.02     2.11    -2.14    -4.12    -0.00
   -35.00  -100.00     0.00    -6.59    -6.57    -3.09     3.09   -35.16   -35.15     0.24    -0.30    -0.07     0.02     2.16    -2.14     4.09     0.00
   -35.00     0.00   100.00    -6.57    -6.54    -3.09     3.10   -35.15   -35.13     0.30    -0.36     0.02     0.11     2.14    -2.11    -0.00    -4.12
   -35.00     0.00  -100.00    -6.57    -6.59    -3.09     3.09   -35.15   -35.16     0.30    -0.24     0.02    -0.07     2.14    -2.16     0.00     4.09
   -40.00   100.00     0.00    -7.63    -7.66    -3.87     3.86   -40.15   -40.16     0.28    -0.23     0.10     0.01     2.43    -2.46    -5.58    -0.00
   -40.00  -100.00     0.00    -7.69    -7.66    -3.85     3.86   -40.18   -40.16     0.17    -0.23    -0.08     0.01     2.48    -2.46     5.55     0.00
   -40.00     0.00   100.00    -7.66    -7.63    -3.86     3.87   -40.16   -40.15     0.23    -0.28     0.01     0.10     2.46    -2.43    -0.00    -5.58
   -40.00     0.00  -100.00    -7.66    -7.69    -3.86     3.85   -40.16   -40.18     0.23    -0.17     0.01    -0.08     2.46    -2.48     0.00     5.55
